Orthogroup	protein_mansoni	sequence_Caenorhabditis elegans	Total
OG0000605	2	0	2
OG0000606	2	0	2
OG0000607	2	0	2
OG0000608	2	0	2
OG0000609	2	0	2
OG0000610	2	0	2
OG0000611	2	0	2
OG0000612	2	0	2
OG0000613	2	0	2
OG0000614	1	1	2
OG0000615	2	0	2
OG0000616	1	1	2
OG0000617	2	0	2
OG0000618	1	1	2
OG0000619	1	1	2
OG0000620	2	0	2
OG0000621	2	0	2
OG0000622	2	0	2
OG0000623	2	0	2
OG0000624	1	1	2
OG0000625	2	0	2
OG0000626	2	0	2
OG0000627	2	0	2
OG0000628	2	0	2
OG0000629	2	0	2
OG0000630	2	0	2
OG0000631	2	0	2
OG0000632	1	1	2
OG0000633	2	0	2
OG0000634	2	0	2
OG0000635	2	0	2
OG0000636	2	0	2
OG0000637	2	0	2
OG0000638	2	0	2
OG0000639	2	0	2
OG0000640	2	0	2
OG0000641	2	0	2
OG0000642	2	0	2
OG0000643	2	0	2
OG0000644	2	0	2
OG0000645	2	0	2
OG0000646	2	0	2
OG0000647	2	0	2
OG0000648	2	0	2
OG0000649	2	0	2
OG0000650	2	0	2
OG0000651	2	0	2
OG0000652	2	0	2
OG0000653	1	1	2
OG0000654	2	0	2
OG0000655	2	0	2
OG0000656	2	0	2
OG0000657	2	0	2
OG0000658	2	0	2
OG0000659	2	0	2
OG0000660	1	1	2
OG0000661	2	0	2
OG0000662	2	0	2
OG0000663	2	0	2
OG0000664	1	1	2
OG0000665	2	0	2
OG0000666	1	1	2
OG0000667	2	0	2
OG0000668	1	1	2
OG0000669	2	0	2
OG0000670	2	0	2
OG0000671	2	0	2
OG0000672	2	0	2
OG0000673	1	1	2
OG0000674	2	0	2
OG0000675	2	0	2
OG0000676	2	0	2
OG0000677	2	0	2
OG0000678	2	0	2
OG0000679	2	0	2
OG0000680	2	0	2
OG0000681	2	0	2
OG0000682	2	0	2
OG0000683	2	0	2
OG0000684	2	0	2
OG0000685	2	0	2
OG0000686	1	1	2
OG0000687	1	1	2
OG0000688	2	0	2
OG0000689	2	0	2
OG0000690	2	0	2
OG0000691	1	1	2
OG0000692	2	0	2
OG0000693	1	1	2
OG0000694	2	0	2
OG0000695	2	0	2
OG0000696	2	0	2
OG0000697	2	0	2
OG0000698	2	0	2
OG0000699	2	0	2
OG0000700	2	0	2
OG0000701	1	1	2
OG0000702	2	0	2
OG0000703	2	0	2
OG0000704	2	0	2
OG0000705	2	0	2
OG0000706	1	1	2
OG0000707	1	1	2
OG0000708	2	0	2
OG0000709	2	0	2
OG0000710	2	0	2
OG0000711	1	1	2
OG0000712	2	0	2
OG0000713	1	1	2
OG0000714	1	1	2
OG0000715	2	0	2
OG0000716	2	0	2
OG0000717	2	0	2
OG0000718	1	1	2
OG0000719	2	0	2
OG0000720	2	0	2
OG0000721	2	0	2
OG0000722	1	1	2
OG0000723	1	1	2
OG0000724	2	0	2
OG0000725	2	0	2
OG0000726	2	0	2
OG0000727	1	1	2
OG0000728	2	0	2
OG0000729	2	0	2
OG0000730	2	0	2
OG0000731	1	1	2
OG0000732	2	0	2
OG0000733	2	0	2
OG0000734	2	0	2
OG0000735	1	1	2
OG0000736	2	0	2
OG0000737	2	0	2
OG0000738	2	0	2
OG0000739	1	1	2
OG0000740	1	1	2
OG0000741	2	0	2
OG0000742	2	0	2
OG0000743	2	0	2
OG0000744	2	0	2
OG0000745	2	0	2
OG0000746	1	1	2
OG0000747	2	0	2
OG0000748	2	0	2
OG0000749	2	0	2
OG0000750	2	0	2
OG0000751	2	0	2
OG0000752	2	0	2
OG0000753	1	1	2
OG0000754	2	0	2
OG0000755	2	0	2
OG0000756	2	0	2
OG0000757	1	1	2
OG0000758	1	1	2
OG0000759	2	0	2
OG0000760	1	1	2
OG0000761	2	0	2
OG0000762	2	0	2
OG0000763	1	1	2
OG0000764	2	0	2
OG0000765	1	1	2
OG0000766	2	0	2
OG0000767	2	0	2
OG0000768	2	0	2
OG0000769	1	1	2
OG0000770	2	0	2
OG0000771	2	0	2
OG0000772	2	0	2
OG0000773	2	0	2
OG0000774	2	0	2
OG0000775	2	0	2
OG0000776	2	0	2
OG0000777	1	1	2
OG0000778	1	1	2
OG0000779	1	1	2
OG0000780	2	0	2
OG0000781	2	0	2
OG0000782	2	0	2
OG0000783	2	0	2
OG0000784	1	1	2
OG0000785	2	0	2
OG0000786	1	1	2
OG0000787	2	0	2
OG0000788	2	0	2
OG0000789	2	0	2
OG0000790	2	0	2
OG0000791	2	0	2
OG0000792	2	0	2
OG0000793	2	0	2
OG0000794	2	0	2
OG0000795	2	0	2
OG0000796	1	1	2
OG0000797	2	0	2
OG0000798	1	1	2
OG0000799	2	0	2
OG0000800	2	0	2
OG0000801	2	0	2
OG0000802	2	0	2
OG0000803	2	0	2
OG0000804	2	0	2
OG0000805	1	1	2
OG0000806	2	0	2
OG0000807	2	0	2
OG0000808	2	0	2
OG0000809	2	0	2
OG0000810	1	1	2
OG0000811	2	0	2
OG0000812	1	1	2
OG0000813	1	1	2
OG0000814	2	0	2
OG0000815	2	0	2
OG0000816	2	0	2
OG0000817	2	0	2
OG0000818	1	1	2
OG0000819	2	0	2
OG0000820	2	0	2
OG0000821	2	0	2
OG0000822	2	0	2
OG0000823	2	0	2
OG0000824	2	0	2
OG0000825	1	1	2
OG0000826	2	0	2
OG0000827	2	0	2
OG0000828	2	0	2
OG0000829	1	1	2
OG0000830	2	0	2
OG0000831	2	0	2
OG0000832	2	0	2
OG0000833	2	0	2
OG0000834	2	0	2
OG0000835	2	0	2
OG0000836	1	1	2
OG0000837	2	0	2
OG0000838	2	0	2
OG0000839	2	0	2
OG0000840	1	1	2
OG0000841	2	0	2
OG0000842	2	0	2
OG0000843	2	0	2
OG0000844	1	1	2
OG0000845	2	0	2
OG0000846	2	0	2
OG0000847	2	0	2
OG0000848	2	0	2
OG0000849	2	0	2
OG0000850	2	0	2
OG0000851	2	0	2
OG0000852	1	1	2
OG0000853	2	0	2
OG0000854	2	0	2
OG0000855	2	0	2
OG0000856	2	0	2
OG0000857	2	0	2
OG0000858	2	0	2
OG0000859	2	0	2
OG0000860	2	0	2
OG0000861	2	0	2
OG0000862	1	1	2
OG0000863	1	1	2
OG0000864	1	1	2
OG0000865	2	0	2
OG0000866	2	0	2
OG0000867	1	1	2
OG0000868	1	1	2
OG0000869	2	0	2
OG0000870	1	1	2
OG0000871	2	0	2
OG0000872	2	0	2
OG0000873	2	0	2
OG0000874	2	0	2
OG0000875	2	0	2
OG0000876	2	0	2
OG0000877	1	1	2
OG0000878	2	0	2
OG0000879	2	0	2
OG0000880	1	1	2
OG0000881	2	0	2
OG0000882	2	0	2
OG0000883	2	0	2
OG0000884	2	0	2
OG0000885	1	1	2
OG0000886	2	0	2
OG0000887	2	0	2
OG0000888	1	1	2
OG0000889	2	0	2
OG0000890	2	0	2
OG0000891	2	0	2
OG0000892	2	0	2
OG0000893	1	1	2
OG0000894	2	0	2
OG0000895	2	0	2
OG0000896	2	0	2
OG0000897	2	0	2
OG0000898	2	0	2
OG0000899	2	0	2
OG0000900	1	1	2
OG0000901	2	0	2
OG0000902	2	0	2
OG0000903	1	1	2
OG0000904	2	0	2
OG0000905	2	0	2
OG0000906	2	0	2
OG0000907	2	0	2
OG0000908	2	0	2
OG0000909	2	0	2
OG0000910	1	1	2
OG0000911	2	0	2
OG0000912	2	0	2
OG0000913	1	1	2
OG0000914	2	0	2
OG0000915	2	0	2
OG0000916	2	0	2
OG0000917	1	1	2
OG0000918	1	1	2
OG0000919	1	1	2
OG0000920	2	0	2
OG0000921	2	0	2
OG0000922	2	0	2
OG0000923	1	1	2
OG0000924	2	0	2
OG0000925	2	0	2
OG0000926	2	0	2
OG0000927	2	0	2
OG0000928	1	1	2
OG0000929	1	1	2
OG0000930	2	0	2
OG0000931	1	1	2
OG0000932	2	0	2
OG0000933	2	0	2
OG0000934	2	0	2
OG0000935	2	0	2
OG0000936	2	0	2
OG0000937	2	0	2
OG0000938	2	0	2
OG0000939	2	0	2
OG0000940	2	0	2
OG0000941	2	0	2
OG0000942	2	0	2
OG0000943	2	0	2
OG0000944	1	1	2
OG0000945	2	0	2
OG0000946	2	0	2
OG0000947	1	1	2
OG0000948	1	1	2
OG0000949	2	0	2
OG0000950	2	0	2
OG0000951	2	0	2
OG0000952	2	0	2
OG0000953	2	0	2
OG0000954	1	1	2
OG0000955	2	0	2
OG0000956	2	0	2
OG0000957	1	1	2
OG0000958	2	0	2
OG0000959	1	1	2
OG0000960	1	1	2
OG0000961	2	0	2
OG0000962	1	1	2
OG0000963	2	0	2
OG0000964	2	0	2
OG0000965	2	0	2
OG0000966	2	0	2
OG0000967	2	0	2
OG0000968	1	1	2
OG0000969	1	1	2
OG0000970	1	1	2
OG0000971	2	0	2
OG0000972	2	0	2
OG0000973	2	0	2
OG0000974	2	0	2
OG0000975	2	0	2
OG0000976	2	0	2
OG0000977	2	0	2
OG0000978	2	0	2
OG0000979	2	0	2
OG0000980	2	0	2
OG0000981	1	1	2
OG0000982	2	0	2
OG0000983	2	0	2
OG0000984	2	0	2
OG0000985	1	1	2
OG0000986	1	1	2
OG0000987	2	0	2
OG0000988	1	1	2
OG0000989	2	0	2
OG0000990	1	1	2
OG0000991	1	1	2
OG0000992	2	0	2
OG0000993	2	0	2
OG0000994	2	0	2
OG0000995	2	0	2
OG0000996	2	0	2
OG0000997	2	0	2
OG0000998	2	0	2
OG0000999	2	0	2
OG0001000	2	0	2
OG0001001	2	0	2
OG0001002	2	0	2
OG0001003	2	0	2
OG0001004	2	0	2
OG0001005	2	0	2
OG0001006	2	0	2
OG0001007	2	0	2
OG0001008	2	0	2
OG0001009	2	0	2
OG0001010	1	1	2
OG0001011	2	0	2
OG0001012	2	0	2
OG0001013	2	0	2
OG0001014	1	1	2
OG0001015	1	1	2
OG0001016	2	0	2
OG0001017	2	0	2
OG0001018	2	0	2
OG0001019	2	0	2
OG0001020	1	1	2
OG0001021	2	0	2
OG0001022	1	1	2
OG0001023	2	0	2
OG0001024	2	0	2
OG0001025	2	0	2
OG0001026	1	1	2
OG0001027	2	0	2
OG0001028	2	0	2
OG0001029	2	0	2
OG0001030	2	0	2
OG0001031	2	0	2
OG0001032	2	0	2
OG0001033	1	1	2
OG0001034	2	0	2
OG0001035	2	0	2
OG0001036	2	0	2
OG0001037	2	0	2
OG0001038	2	0	2
OG0001039	2	0	2
OG0001040	2	0	2
OG0001041	2	0	2
OG0001042	2	0	2
OG0001043	1	1	2
OG0001044	2	0	2
OG0001045	2	0	2
OG0001046	1	1	2
OG0001047	1	1	2
OG0001048	2	0	2
OG0001049	2	0	2
OG0001050	2	0	2
OG0001051	2	0	2
OG0001052	2	0	2
OG0001053	2	0	2
OG0001054	1	1	2
OG0001055	2	0	2
OG0001056	1	1	2
OG0001057	2	0	2
OG0001058	2	0	2
OG0001059	2	0	2
OG0001060	1	1	2
OG0001061	2	0	2
OG0001062	2	0	2
OG0001063	2	0	2
OG0001064	2	0	2
OG0001065	2	0	2
OG0001066	2	0	2
OG0001067	2	0	2
OG0001068	2	0	2
OG0001069	2	0	2
OG0001070	2	0	2
OG0001071	2	0	2
OG0001072	1	1	2
OG0001073	2	0	2
OG0001074	2	0	2
OG0001075	1	1	2
OG0001076	2	0	2
OG0001077	2	0	2
OG0001078	2	0	2
OG0001079	2	0	2
OG0001080	2	0	2
OG0001081	2	0	2
OG0001082	2	0	2
OG0001083	2	0	2
OG0001084	2	0	2
OG0001085	2	0	2
OG0001086	2	0	2
OG0001087	2	0	2
OG0001088	2	0	2
OG0001089	2	0	2
OG0001090	1	1	2
OG0001091	2	0	2
OG0001092	2	0	2
OG0001093	2	0	2
OG0001094	2	0	2
OG0001095	2	0	2
OG0001096	2	0	2
OG0001097	2	0	2
OG0001098	1	1	2
OG0001099	2	0	2
OG0001100	2	0	2
OG0001101	2	0	2
OG0001102	2	0	2
OG0001103	2	0	2
OG0001104	2	0	2
OG0001105	1	1	2
OG0001106	2	0	2
OG0001107	2	0	2
OG0001108	2	0	2
OG0001109	1	1	2
OG0001110	1	1	2
OG0001111	2	0	2
OG0001112	2	0	2
OG0001113	2	0	2
OG0001114	2	0	2
OG0001115	2	0	2
OG0001116	2	0	2
OG0001117	2	0	2
OG0001118	2	0	2
OG0001119	2	0	2
OG0001120	2	0	2
OG0001121	2	0	2
OG0001122	1	1	2
OG0001123	2	0	2
OG0001124	2	0	2
OG0001125	2	0	2
OG0001126	2	0	2
OG0001127	1	1	2
OG0001128	1	1	2
OG0001129	1	1	2
OG0001130	1	1	2
OG0001131	2	0	2
OG0001132	1	1	2
OG0001133	2	0	2
OG0001134	2	0	2
OG0001135	2	0	2
OG0001136	2	0	2
OG0001137	2	0	2
OG0001138	1	1	2
OG0001139	1	1	2
OG0001140	2	0	2
OG0001141	2	0	2
OG0001142	1	1	2
OG0001143	1	1	2
OG0001144	1	1	2
OG0001145	2	0	2
OG0001146	2	0	2
OG0001147	2	0	2
OG0001148	2	0	2
OG0001149	2	0	2
OG0001150	2	0	2
OG0001151	1	1	2
OG0001152	2	0	2
OG0001153	2	0	2
OG0001154	2	0	2
OG0001155	2	0	2
OG0001156	2	0	2
OG0001157	2	0	2
OG0001158	1	1	2
OG0001159	2	0	2
OG0001160	2	0	2
OG0001161	2	0	2
OG0001162	2	0	2
OG0001163	2	0	2
OG0001164	2	0	2
OG0001165	2	0	2
OG0001166	1	1	2
OG0001167	1	1	2
OG0001168	1	1	2
OG0001169	2	0	2
OG0001170	2	0	2
OG0001171	2	0	2
OG0001172	2	0	2
OG0001173	2	0	2
OG0001174	2	0	2
OG0001175	2	0	2
OG0001176	2	0	2
OG0001177	1	1	2
OG0001178	2	0	2
OG0001179	2	0	2
OG0001180	2	0	2
OG0001181	2	0	2
OG0001182	1	1	2
OG0001183	2	0	2
OG0001184	2	0	2
OG0001185	1	1	2
OG0001186	1	1	2
OG0001187	2	0	2
OG0001188	2	0	2
OG0001189	1	1	2
OG0001190	1	1	2
OG0001191	1	1	2
OG0001192	2	0	2
OG0001193	2	0	2
OG0001194	2	0	2
OG0001195	2	0	2
OG0001196	2	0	2
OG0001197	2	0	2
OG0001198	2	0	2
OG0001199	2	0	2
OG0001200	2	0	2
OG0001201	2	0	2
OG0001202	2	0	2
OG0001203	1	1	2
OG0001204	1	1	2
OG0001205	2	0	2
OG0001206	2	0	2
OG0001207	2	0	2
OG0001208	1	1	2
OG0001209	1	1	2
OG0001210	1	1	2
OG0001211	2	0	2
OG0001212	2	0	2
OG0001213	2	0	2
OG0001214	2	0	2
OG0001215	2	0	2
OG0001216	2	0	2
OG0001217	1	1	2
OG0001218	2	0	2
OG0001219	2	0	2
OG0001220	2	0	2
OG0001221	2	0	2
OG0001222	1	1	2
OG0001223	1	1	2
OG0001224	1	1	2
OG0001225	1	1	2
OG0001226	1	1	2
OG0001227	0	2	2
