Orthogroup	protein_mansoni	sequence_Caenorhabditis elegans	sequence_Drosophila melanogaster	sequence_Saccharomyces cerevisiae	Total
OG0000000	111	0	0	0	111
OG0000001	34	0	5	14	53
OG0000002	49	1	1	1	52
OG0000003	52	0	0	0	52
OG0000004	32	5	1	4	42
OG0000005	42	0	0	0	42
OG0000006	19	1	4	15	39
OG0000007	32	0	0	0	32
OG0000008	29	0	0	0	29
OG0000009	28	0	0	0	28
OG0000010	20	1	3	2	26
OG0000011	18	2	2	2	24
OG0000012	16	1	5	1	23
OG0000013	23	0	0	0	23
OG0000014	22	0	0	0	22
OG0000015	22	0	0	0	22
OG0000016	22	0	0	0	22
OG0000017	22	0	0	0	22
OG0000018	21	0	0	0	21
OG0000019	21	0	0	0	21
OG0000020	21	0	0	0	21
OG0000021	20	0	0	0	20
OG0000022	16	1	1	2	20
OG0000023	20	0	0	0	20
OG0000024	19	0	0	0	19
OG0000025	19	0	0	0	19
OG0000026	19	0	0	0	19
OG0000027	18	0	0	0	18
OG0000028	17	1	0	0	18
OG0000029	17	0	0	0	17
OG0000030	8	2	1	6	17
OG0000031	16	0	0	0	16
OG0000032	8	0	8	0	16
OG0000033	16	0	0	0	16
OG0000034	14	0	1	1	16
OG0000035	16	0	0	0	16
OG0000036	16	0	0	0	16
OG0000037	13	0	1	1	15
OG0000038	15	0	0	0	15
OG0000039	8	1	0	6	15
OG0000040	15	0	0	0	15
OG0000041	14	0	0	0	14
OG0000042	14	0	0	0	14
OG0000043	14	0	0	0	14
OG0000044	14	0	0	0	14
OG0000045	12	0	0	1	13
OG0000046	12	0	0	1	13
OG0000047	13	0	0	0	13
OG0000048	13	0	0	0	13
OG0000049	10	2	1	0	13
OG0000050	13	0	0	0	13
OG0000051	13	0	0	0	13
OG0000052	12	0	0	0	12
OG0000053	6	0	6	0	12
OG0000054	12	0	0	0	12
OG0000055	12	0	0	0	12
OG0000056	10	0	1	1	12
OG0000057	12	0	0	0	12
OG0000058	12	0	0	0	12
OG0000059	12	0	0	0	12
OG0000060	12	0	0	0	12
OG0000061	12	0	0	0	12
OG0000062	12	0	0	0	12
OG0000063	12	0	0	0	12
OG0000064	8	1	3	0	12
OG0000065	8	2	0	1	11
OG0000066	9	1	0	1	11
OG0000067	11	0	0	0	11
OG0000068	8	1	1	1	11
OG0000069	7	4	0	0	11
OG0000070	11	0	0	0	11
OG0000071	11	0	0	0	11
OG0000072	10	0	1	0	11
OG0000073	3	0	4	4	11
OG0000074	11	0	0	0	11
OG0000075	11	0	0	0	11
OG0000076	11	0	0	0	11
OG0000077	11	0	0	0	11
OG0000078	6	2	2	1	11
OG0000079	11	0	0	0	11
OG0000080	10	0	1	0	11
OG0000081	11	0	0	0	11
OG0000082	11	0	0	0	11
OG0000083	10	0	0	0	10
OG0000084	10	0	0	0	10
OG0000085	10	0	0	0	10
OG0000086	10	0	0	0	10
OG0000087	6	0	0	4	10
OG0000088	10	0	0	0	10
OG0000089	4	0	4	2	10
OG0000090	10	0	0	0	10
OG0000091	10	0	0	0	10
OG0000092	10	0	0	0	10
OG0000093	10	0	0	0	10
OG0000094	10	0	0	0	10
OG0000095	9	0	0	0	9
OG0000096	9	0	0	0	9
OG0000097	7	0	1	1	9
OG0000098	9	0	0	0	9
OG0000099	7	0	0	2	9
OG0000100	9	0	0	0	9
OG0000101	9	0	0	0	9
OG0000102	9	0	0	0	9
OG0000103	3	2	1	3	9
OG0000104	4	2	0	3	9
OG0000105	5	0	2	2	9
OG0000106	9	0	0	0	9
OG0000107	8	0	1	0	9
OG0000108	9	0	0	0	9
OG0000109	9	0	0	0	9
OG0000110	9	0	0	0	9
OG0000111	9	0	0	0	9
OG0000112	6	0	1	1	8
OG0000113	8	0	0	0	8
OG0000114	8	0	0	0	8
OG0000115	5	0	2	1	8
OG0000116	8	0	0	0	8
OG0000117	8	0	0	0	8
OG0000118	7	0	0	1	8
OG0000119	8	0	0	0	8
OG0000120	8	0	0	0	8
OG0000121	6	1	0	1	8
OG0000122	8	0	0	0	8
OG0000123	8	0	0	0	8
OG0000124	8	0	0	0	8
OG0000125	2	0	6	0	8
OG0000126	6	1	0	0	7
OG0000127	6	1	0	0	7
OG0000128	7	0	0	0	7
OG0000129	7	0	0	0	7
OG0000130	7	0	0	0	7
OG0000131	3	0	1	3	7
OG0000132	7	0	0	0	7
OG0000133	7	0	0	0	7
OG0000134	3	1	0	3	7
OG0000135	7	0	0	0	7
OG0000136	2	2	1	2	7
OG0000137	7	0	0	0	7
OG0000138	7	0	0	0	7
OG0000139	5	0	2	0	7
OG0000140	6	0	0	1	7
OG0000141	7	0	0	0	7
OG0000142	6	0	1	0	7
OG0000143	7	0	0	0	7
OG0000144	7	0	0	0	7
OG0000145	7	0	0	0	7
OG0000146	5	1	0	1	7
OG0000147	7	0	0	0	7
OG0000148	6	0	1	0	7
OG0000149	7	0	0	0	7
OG0000150	7	0	0	0	7
OG0000151	7	0	0	0	7
OG0000152	7	0	0	0	7
OG0000153	7	0	0	0	7
OG0000154	7	0	0	0	7
OG0000155	7	0	0	0	7
OG0000156	4	0	0	3	7
OG0000157	6	0	0	0	6
OG0000158	6	0	0	0	6
OG0000159	6	0	0	0	6
OG0000160	6	0	0	0	6
OG0000161	6	0	0	0	6
OG0000162	6	0	0	0	6
OG0000163	6	0	0	0	6
OG0000164	6	0	0	0	6
OG0000165	5	1	0	0	6
OG0000166	5	1	0	0	6
OG0000167	6	0	0	0	6
OG0000168	6	0	0	0	6
OG0000169	3	1	1	1	6
OG0000170	6	0	0	0	6
OG0000171	6	0	0	0	6
OG0000172	6	0	0	0	6
OG0000173	6	0	0	0	6
OG0000174	6	0	0	0	6
OG0000175	2	2	1	1	6
OG0000176	6	0	0	0	6
OG0000177	3	0	2	1	6
OG0000178	4	0	1	1	6
OG0000179	6	0	0	0	6
OG0000180	3	0	2	1	6
OG0000181	1	2	1	2	6
OG0000182	6	0	0	0	6
OG0000183	6	0	0	0	6
OG0000184	6	0	0	0	6
OG0000185	4	1	1	0	6
OG0000186	6	0	0	0	6
OG0000187	6	0	0	0	6
OG0000188	6	0	0	0	6
OG0000189	6	0	0	0	6
OG0000190	6	0	0	0	6
OG0000191	6	0	0	0	6
OG0000192	6	0	0	0	6
OG0000193	2	1	1	2	6
OG0000194	6	0	0	0	6
OG0000195	6	0	0	0	6
OG0000196	6	0	0	0	6
OG0000197	6	0	0	0	6
OG0000198	3	1	0	2	6
OG0000199	6	0	0	0	6
OG0000200	5	0	0	0	5
OG0000201	5	0	0	0	5
OG0000202	5	0	0	0	5
OG0000203	5	0	0	0	5
OG0000204	4	0	1	0	5
OG0000205	5	0	0	0	5
OG0000206	3	0	0	2	5
OG0000207	4	0	1	0	5
OG0000208	5	0	0	0	5
OG0000209	3	0	1	1	5
OG0000210	4	1	0	0	5
OG0000211	5	0	0	0	5
OG0000212	5	0	0	0	5
OG0000213	5	0	0	0	5
OG0000214	5	0	0	0	5
OG0000215	2	1	1	1	5
OG0000216	4	1	0	0	5
OG0000217	5	0	0	0	5
OG0000218	5	0	0	0	5
OG0000219	5	0	0	0	5
OG0000220	5	0	0	0	5
OG0000221	5	0	0	0	5
OG0000222	5	0	0	0	5
OG0000223	5	0	0	0	5
OG0000224	5	0	0	0	5
OG0000225	5	0	0	0	5
OG0000226	5	0	0	0	5
OG0000227	5	0	0	0	5
OG0000228	5	0	0	0	5
OG0000229	5	0	0	0	5
OG0000230	5	0	0	0	5
OG0000231	5	0	0	0	5
OG0000232	5	0	0	0	5
OG0000233	2	0	3	0	5
OG0000234	5	0	0	0	5
OG0000235	3	0	1	1	5
OG0000236	5	0	0	0	5
OG0000237	5	0	0	0	5
OG0000238	4	0	0	1	5
OG0000239	3	0	1	1	5
OG0000240	5	0	0	0	5
OG0000241	5	0	0	0	5
OG0000242	2	0	3	0	5
OG0000243	5	0	0	0	5
OG0000244	5	0	0	0	5
OG0000245	1	0	2	2	5
OG0000246	3	0	1	1	5
OG0000247	5	0	0	0	5
OG0000248	4	0	0	1	5
OG0000249	5	0	0	0	5
OG0000250	5	0	0	0	5
OG0000251	5	0	0	0	5
OG0000252	5	0	0	0	5
OG0000253	3	0	0	2	5
OG0000254	5	0	0	0	5
OG0000255	5	0	0	0	5
OG0000256	4	0	0	1	5
OG0000257	2	0	3	0	5
OG0000258	5	0	0	0	5
OG0000259	5	0	0	0	5
OG0000260	3	0	2	0	5
OG0000261	5	0	0	0	5
OG0000262	2	0	1	2	5
OG0000263	5	0	0	0	5
OG0000264	5	0	0	0	5
OG0000265	0	0	5	0	5
OG0000266	4	0	0	0	4
OG0000267	4	0	0	0	4
OG0000268	4	0	0	0	4
OG0000269	4	0	0	0	4
OG0000270	4	0	0	0	4
OG0000271	1	1	1	1	4
OG0000272	4	0	0	0	4
OG0000273	4	0	0	0	4
OG0000274	4	0	0	0	4
OG0000275	1	1	1	1	4
OG0000276	3	1	0	0	4
OG0000277	2	1	0	1	4
OG0000278	4	0	0	0	4
OG0000279	4	0	0	0	4
OG0000280	4	0	0	0	4
OG0000281	2	0	2	0	4
OG0000282	4	0	0	0	4
OG0000283	2	0	0	2	4
OG0000284	4	0	0	0	4
OG0000285	4	0	0	0	4
OG0000286	1	1	1	1	4
OG0000287	4	0	0	0	4
OG0000288	2	1	0	1	4
OG0000289	2	1	0	1	4
OG0000290	4	0	0	0	4
OG0000291	2	0	1	1	4
OG0000292	4	0	0	0	4
OG0000293	4	0	0	0	4
OG0000294	2	0	0	2	4
OG0000295	3	0	0	1	4
OG0000296	4	0	0	0	4
OG0000297	4	0	0	0	4
OG0000298	2	0	0	2	4
OG0000299	1	1	1	1	4
OG0000300	4	0	0	0	4
OG0000301	4	0	0	0	4
OG0000302	4	0	0	0	4
OG0000303	2	0	0	2	4
OG0000304	4	0	0	0	4
OG0000305	4	0	0	0	4
OG0000306	1	1	0	2	4
OG0000307	3	0	0	1	4
OG0000308	4	0	0	0	4
OG0000309	3	1	0	0	4
OG0000310	4	0	0	0	4
OG0000311	3	0	0	1	4
OG0000312	2	0	1	1	4
OG0000313	4	0	0	0	4
OG0000314	4	0	0	0	4
OG0000315	4	0	0	0	4
OG0000316	4	0	0	0	4
OG0000317	4	0	0	0	4
OG0000318	4	0	0	0	4
OG0000319	4	0	0	0	4
OG0000320	4	0	0	0	4
OG0000321	4	0	0	0	4
OG0000322	2	0	1	1	4
OG0000323	4	0	0	0	4
OG0000324	2	0	2	0	4
OG0000325	4	0	0	0	4
OG0000326	4	0	0	0	4
OG0000327	4	0	0	0	4
OG0000328	3	0	0	1	4
OG0000329	4	0	0	0	4
OG0000330	4	0	0	0	4
OG0000331	3	0	0	1	4
OG0000332	2	0	0	2	4
OG0000333	3	1	0	0	4
OG0000334	1	1	1	1	4
OG0000335	1	1	1	1	4
OG0000336	2	2	0	0	4
OG0000337	4	0	0	0	4
OG0000338	3	0	0	1	4
OG0000339	4	0	0	0	4
OG0000340	4	0	0	0	4
OG0000341	4	0	0	0	4
OG0000342	2	1	1	0	4
OG0000343	3	0	0	1	4
OG0000344	4	0	0	0	4
OG0000345	1	1	1	1	4
OG0000346	4	0	0	0	4
OG0000347	2	1	0	1	4
OG0000348	4	0	0	0	4
OG0000349	4	0	0	0	4
OG0000350	4	0	0	0	4
OG0000351	4	0	0	0	4
OG0000352	4	0	0	0	4
OG0000353	4	0	0	0	4
OG0000354	2	0	0	2	4
OG0000355	4	0	0	0	4
OG0000356	4	0	0	0	4
OG0000357	4	0	0	0	4
OG0000358	4	0	0	0	4
OG0000359	4	0	0	0	4
OG0000360	4	0	0	0	4
OG0000361	4	0	0	0	4
OG0000362	4	0	0	0	4
OG0000363	4	0	0	0	4
OG0000364	4	0	0	0	4
OG0000365	4	0	0	0	4
OG0000366	3	0	1	0	4
OG0000367	4	0	0	0	4
OG0000368	3	0	0	1	4
OG0000369	2	0	0	2	4
OG0000370	2	0	1	1	4
OG0000371	2	0	0	2	4
OG0000372	4	0	0	0	4
OG0000373	4	0	0	0	4
OG0000374	4	0	0	0	4
OG0000375	4	0	0	0	4
OG0000376	4	0	0	0	4
OG0000377	4	0	0	0	4
OG0000378	1	1	0	2	4
OG0000379	4	0	0	0	4
OG0000380	4	0	0	0	4
OG0000381	4	0	0	0	4
OG0000382	3	0	1	0	4
OG0000383	4	0	0	0	4
OG0000384	1	1	1	1	4
OG0000385	4	0	0	0	4
OG0000386	1	1	1	1	4
OG0000387	4	0	0	0	4
OG0000388	4	0	0	0	4
OG0000389	4	0	0	0	4
OG0000390	4	0	0	0	4
OG0000391	1	1	1	1	4
OG0000392	2	0	0	1	3
OG0000393	3	0	0	0	3
OG0000394	3	0	0	0	3
OG0000395	3	0	0	0	3
OG0000396	2	1	0	0	3
OG0000397	3	0	0	0	3
OG0000398	2	0	0	1	3
OG0000399	1	0	1	1	3
OG0000400	2	0	0	1	3
OG0000401	3	0	0	0	3
OG0000402	1	1	0	1	3
OG0000403	3	0	0	0	3
OG0000404	1	1	1	0	3
OG0000405	3	0	0	0	3
OG0000406	3	0	0	0	3
OG0000407	2	0	0	1	3
OG0000408	3	0	0	0	3
OG0000409	3	0	0	0	3
OG0000410	3	0	0	0	3
OG0000411	3	0	0	0	3
OG0000412	1	1	0	1	3
OG0000413	3	0	0	0	3
OG0000414	1	0	1	1	3
OG0000415	2	0	0	1	3
OG0000416	3	0	0	0	3
OG0000417	3	0	0	0	3
OG0000418	3	0	0	0	3
OG0000419	1	1	0	1	3
OG0000420	1	1	0	1	3
OG0000421	3	0	0	0	3
OG0000422	2	0	1	0	3
OG0000423	1	1	1	0	3
OG0000424	3	0	0	0	3
OG0000425	3	0	0	0	3
OG0000426	1	0	1	1	3
OG0000427	2	0	0	1	3
OG0000428	2	0	0	1	3
OG0000429	3	0	0	0	3
OG0000430	3	0	0	0	3
OG0000431	2	0	0	1	3
OG0000432	3	0	0	0	3
OG0000433	3	0	0	0	3
OG0000434	3	0	0	0	3
OG0000435	1	0	2	0	3
OG0000436	3	0	0	0	3
OG0000437	1	0	1	1	3
OG0000438	3	0	0	0	3
OG0000439	1	0	1	1	3
OG0000440	3	0	0	0	3
OG0000441	1	1	0	1	3
OG0000442	3	0	0	0	3
OG0000443	2	0	0	1	3
OG0000444	3	0	0	0	3
OG0000445	3	0	0	0	3
OG0000446	3	0	0	0	3
OG0000447	1	0	0	2	3
OG0000448	3	0	0	0	3
OG0000449	1	1	0	1	3
OG0000450	1	0	1	1	3
OG0000451	1	1	0	1	3
OG0000452	3	0	0	0	3
OG0000453	3	0	0	0	3
OG0000454	3	0	0	0	3
OG0000455	3	0	0	0	3
OG0000456	1	1	0	1	3
OG0000457	3	0	0	0	3
OG0000458	1	1	0	1	3
OG0000459	1	1	0	1	3
OG0000460	2	1	0	0	3
OG0000461	3	0	0	0	3
OG0000462	1	0	1	1	3
OG0000463	2	0	0	1	3
OG0000464	3	0	0	0	3
OG0000465	3	0	0	0	3
OG0000466	3	0	0	0	3
OG0000467	2	0	0	1	3
OG0000468	1	0	0	2	3
OG0000469	2	0	0	1	3
OG0000470	1	1	0	1	3
OG0000471	3	0	0	0	3
OG0000472	1	0	1	1	3
OG0000473	3	0	0	0	3
OG0000474	1	2	0	0	3
OG0000475	3	0	0	0	3
OG0000476	3	0	0	0	3
OG0000477	3	0	0	0	3
OG0000478	3	0	0	0	3
OG0000479	1	0	1	1	3
OG0000480	1	1	0	1	3
OG0000481	3	0	0	0	3
OG0000482	1	0	1	1	3
OG0000483	3	0	0	0	3
OG0000484	3	0	0	0	3
OG0000485	1	0	2	0	3
OG0000486	2	1	0	0	3
OG0000487	3	0	0	0	3
OG0000488	3	0	0	0	3
OG0000489	3	0	0	0	3
OG0000490	1	1	0	1	3
OG0000491	1	1	0	1	3
OG0000492	1	0	1	1	3
OG0000493	1	1	0	1	3
OG0000494	1	1	0	1	3
OG0000495	3	0	0	0	3
OG0000496	3	0	0	0	3
OG0000497	1	0	0	2	3
OG0000498	2	1	0	0	3
OG0000499	1	1	0	1	3
OG0000500	1	1	0	1	3
OG0000501	3	0	0	0	3
OG0000502	1	0	1	1	3
OG0000503	1	1	0	1	3
OG0000504	2	0	1	0	3
OG0000505	1	0	1	1	3
OG0000506	1	1	0	1	3
OG0000507	1	0	1	1	3
OG0000508	3	0	0	0	3
OG0000509	2	0	0	1	3
OG0000510	3	0	0	0	3
OG0000511	3	0	0	0	3
OG0000512	2	0	0	1	3
OG0000513	1	1	0	1	3
OG0000514	3	0	0	0	3
OG0000515	3	0	0	0	3
OG0000516	2	0	1	0	3
OG0000517	3	0	0	0	3
OG0000518	2	0	1	0	3
OG0000519	3	0	0	0	3
OG0000520	1	1	0	1	3
OG0000521	3	0	0	0	3
OG0000522	2	0	0	1	3
OG0000523	3	0	0	0	3
OG0000524	1	0	1	1	3
OG0000525	2	0	0	1	3
OG0000526	3	0	0	0	3
OG0000527	1	0	1	1	3
OG0000528	3	0	0	0	3
OG0000529	3	0	0	0	3
OG0000530	1	1	1	0	3
OG0000531	1	1	0	1	3
OG0000532	3	0	0	0	3
OG0000533	1	0	1	1	3
OG0000534	3	0	0	0	3
OG0000535	2	0	0	1	3
OG0000536	1	0	1	1	3
OG0000537	3	0	0	0	3
OG0000538	3	0	0	0	3
OG0000539	3	0	0	0	3
OG0000540	2	0	0	1	3
OG0000541	1	1	0	1	3
OG0000542	3	0	0	0	3
OG0000543	3	0	0	0	3
OG0000544	1	1	0	1	3
OG0000545	3	0	0	0	3
OG0000546	3	0	0	0	3
OG0000547	3	0	0	0	3
OG0000548	1	0	1	1	3
OG0000549	3	0	0	0	3
OG0000550	3	0	0	0	3
OG0000551	1	0	1	1	3
OG0000552	3	0	0	0	3
OG0000553	3	0	0	0	3
OG0000554	3	0	0	0	3
OG0000555	2	0	0	1	3
OG0000556	3	0	0	0	3
OG0000557	3	0	0	0	3
OG0000558	1	1	0	1	3
OG0000559	2	0	0	1	3
OG0000560	3	0	0	0	3
OG0000561	3	0	0	0	3
OG0000562	3	0	0	0	3
OG0000563	3	0	0	0	3
OG0000564	1	1	0	1	3
OG0000565	3	0	0	0	3
OG0000566	2	0	0	1	3
OG0000567	3	0	0	0	3
OG0000568	2	0	0	1	3
OG0000569	1	1	0	1	3
OG0000570	3	0	0	0	3
OG0000571	1	0	1	1	3
OG0000572	2	0	0	1	3
OG0000573	3	0	0	0	3
