Orthogroup	protein_mansoni	resultado_sce	Total
OG0000000	112	1	113
OG0000001	49	1	50
OG0000002	50	0	50
OG0000003	0	48	48
OG0000004	43	1	44
OG0000005	42	0	42
OG0000006	33	0	33
OG0000007	32	0	32
OG0000008	0	28	28
OG0000009	24	0	24
OG0000010	23	0	23
OG0000011	23	0	23
OG0000012	21	1	22
OG0000013	22	0	22
OG0000014	22	0	22
OG0000015	22	0	22
OG0000016	21	0	21
OG0000017	21	0	21
OG0000018	20	0	20
OG0000019	20	0	20
OG0000020	0	20	20
OG0000021	19	0	19
OG0000022	19	0	19
OG0000023	18	0	18
OG0000024	17	1	18
OG0000025	18	0	18
OG0000026	0	18	18
OG0000027	16	0	16
OG0000028	15	1	16
OG0000029	15	1	16
OG0000030	16	0	16
OG0000031	16	0	16
OG0000032	16	0	16
OG0000033	14	1	15
OG0000034	14	1	15
OG0000035	13	1	14
OG0000036	14	0	14
OG0000037	14	0	14
OG0000038	11	2	13
OG0000039	12	1	13
OG0000040	13	0	13
OG0000041	13	0	13
OG0000042	13	0	13
OG0000043	13	0	13
OG0000044	13	0	13
OG0000045	12	0	12
OG0000046	12	0	12
OG0000047	11	1	12
OG0000048	12	0	12
OG0000049	11	0	11
OG0000050	10	1	11
OG0000051	11	0	11
OG0000052	11	0	11
OG0000053	11	0	11
OG0000054	10	1	11
OG0000055	11	0	11
OG0000056	11	0	11
OG0000057	10	1	11
OG0000058	11	0	11
OG0000059	11	0	11
OG0000060	9	2	11
OG0000061	11	0	11
OG0000062	10	0	10
OG0000063	9	1	10
OG0000064	8	2	10
OG0000065	10	0	10
OG0000066	10	0	10
OG0000067	1	9	10
OG0000068	9	1	10
OG0000069	10	0	10
OG0000070	10	0	10
OG0000071	10	0	10
OG0000072	10	0	10
OG0000073	8	1	9
OG0000074	9	0	9
OG0000075	9	0	9
OG0000076	9	0	9
OG0000077	9	0	9
OG0000078	8	1	9
OG0000079	9	0	9
OG0000080	9	0	9
OG0000081	9	0	9
OG0000082	7	2	9
OG0000083	9	0	9
OG0000084	9	0	9
OG0000085	9	0	9
OG0000086	9	0	9
OG0000087	1	8	9
OG0000088	9	0	9
OG0000089	0	9	9
OG0000090	8	0	8
OG0000091	8	0	8
OG0000092	8	0	8
OG0000093	8	0	8
OG0000094	8	0	8
OG0000095	8	0	8
OG0000096	7	1	8
OG0000097	7	1	8
OG0000098	6	2	8
OG0000099	7	1	8
OG0000100	8	0	8
OG0000101	8	0	8
OG0000102	8	0	8
OG0000103	8	0	8
OG0000104	0	8	8
OG0000105	0	8	8
OG0000106	0	8	8
OG0000107	7	0	7
OG0000108	6	1	7
OG0000109	5	2	7
OG0000110	7	0	7
OG0000111	7	0	7
OG0000112	7	0	7
OG0000113	6	1	7
OG0000114	7	0	7
OG0000115	7	0	7
OG0000116	7	0	7
OG0000117	7	0	7
OG0000118	6	1	7
OG0000119	7	0	7
OG0000120	7	0	7
OG0000121	6	1	7
OG0000122	7	0	7
OG0000123	7	0	7
OG0000124	7	0	7
OG0000125	7	0	7
OG0000126	6	1	7
OG0000127	7	0	7
OG0000128	6	1	7
OG0000129	1	6	7
OG0000130	0	7	7
OG0000131	0	7	7
OG0000132	0	7	7
OG0000133	0	7	7
OG0000134	6	0	6
OG0000135	6	0	6
OG0000136	6	0	6
OG0000137	4	2	6
OG0000138	6	0	6
OG0000139	5	1	6
OG0000140	1	5	6
OG0000141	6	0	6
OG0000142	6	0	6
OG0000143	6	0	6
OG0000144	6	0	6
OG0000145	6	0	6
OG0000146	3	3	6
OG0000147	6	0	6
OG0000148	6	0	6
OG0000149	4	2	6
OG0000150	2	4	6
OG0000151	1	5	6
OG0000152	6	0	6
OG0000153	6	0	6
OG0000154	6	0	6
OG0000155	6	0	6
OG0000156	5	1	6
OG0000157	6	0	6
OG0000158	6	0	6
OG0000159	4	2	6
OG0000160	6	0	6
OG0000161	5	1	6
OG0000162	3	3	6
OG0000163	6	0	6
OG0000164	6	0	6
OG0000165	6	0	6
OG0000166	6	0	6
OG0000167	6	0	6
OG0000168	2	4	6
OG0000169	1	5	6
OG0000170	1	5	6
OG0000171	6	0	6
OG0000172	0	6	6
OG0000173	0	6	6
OG0000174	0	6	6
OG0000175	0	6	6
OG0000176	0	6	6
OG0000177	0	6	6
OG0000178	4	1	5
OG0000179	4	1	5
OG0000180	5	0	5
OG0000181	5	0	5
OG0000182	5	0	5
OG0000183	3	2	5
OG0000184	5	0	5
OG0000185	2	3	5
OG0000186	5	0	5
OG0000187	5	0	5
OG0000188	5	0	5
OG0000189	5	0	5
OG0000190	5	0	5
OG0000191	4	1	5
OG0000192	5	0	5
OG0000193	5	0	5
OG0000194	3	2	5
OG0000195	5	0	5
OG0000196	4	1	5
OG0000197	2	3	5
OG0000198	3	2	5
OG0000199	5	0	5
OG0000200	5	0	5
OG0000201	5	0	5
OG0000202	3	2	5
OG0000203	1	4	5
OG0000204	5	0	5
OG0000205	5	0	5
OG0000206	5	0	5
OG0000207	5	0	5
OG0000208	5	0	5
OG0000209	2	3	5
OG0000210	3	2	5
OG0000211	5	0	5
OG0000212	4	1	5
OG0000213	2	3	5
OG0000214	2	3	5
OG0000215	5	0	5
OG0000216	4	1	5
OG0000217	2	3	5
OG0000218	3	2	5
OG0000219	3	2	5
OG0000220	5	0	5
OG0000221	4	1	5
OG0000222	5	0	5
OG0000223	3	2	5
OG0000224	3	2	5
OG0000225	5	0	5
OG0000226	4	1	5
OG0000227	5	0	5
OG0000228	5	0	5
OG0000229	5	0	5
OG0000230	5	0	5
OG0000231	5	0	5
OG0000232	5	0	5
OG0000233	5	0	5
OG0000234	4	1	5
OG0000235	5	0	5
OG0000236	5	0	5
OG0000237	3	2	5
OG0000238	5	0	5
OG0000239	5	0	5
OG0000240	3	2	5
OG0000241	5	0	5
OG0000242	5	0	5
OG0000243	2	3	5
OG0000244	5	0	5
OG0000245	1	4	5
OG0000246	5	0	5
OG0000247	1	4	5
OG0000248	1	4	5
OG0000249	0	5	5
OG0000250	0	5	5
OG0000251	0	5	5
OG0000252	0	5	5
OG0000253	0	5	5
OG0000254	0	5	5
OG0000255	0	5	5
OG0000256	4	0	4
OG0000257	4	0	4
OG0000258	1	3	4
OG0000259	2	2	4
OG0000260	4	0	4
OG0000261	3	1	4
OG0000262	4	0	4
OG0000263	3	1	4
OG0000264	4	0	4
OG0000265	3	1	4
OG0000266	2	2	4
OG0000267	2	2	4
OG0000268	2	2	4
OG0000269	1	3	4
OG0000270	4	0	4
OG0000271	2	2	4
OG0000272	3	1	4
OG0000273	3	1	4
OG0000274	2	2	4
OG0000275	4	0	4
OG0000276	3	1	4
OG0000277	3	1	4
OG0000278	4	0	4
OG0000279	2	2	4
OG0000280	2	2	4
OG0000281	4	0	4
OG0000282	4	0	4
OG0000283	4	0	4
OG0000284	1	3	4
OG0000285	1	3	4
OG0000286	2	2	4
OG0000287	2	2	4
OG0000288	2	2	4
OG0000289	4	0	4
OG0000290	4	0	4
OG0000291	1	3	4
OG0000292	3	1	4
OG0000293	4	0	4
OG0000294	4	0	4
OG0000295	2	2	4
OG0000296	4	0	4
OG0000297	2	2	4
OG0000298	4	0	4
OG0000299	4	0	4
OG0000300	4	0	4
OG0000301	3	1	4
OG0000302	2	2	4
OG0000303	4	0	4
OG0000304	1	3	4
OG0000305	3	1	4
OG0000306	2	2	4
OG0000307	4	0	4
OG0000308	3	1	4
OG0000309	4	0	4
OG0000310	4	0	4
OG0000311	4	0	4
OG0000312	1	3	4
OG0000313	3	1	4
OG0000314	4	0	4
OG0000315	3	1	4
OG0000316	3	1	4
OG0000317	1	3	4
OG0000318	2	2	4
OG0000319	2	2	4
OG0000320	3	1	4
OG0000321	3	1	4
OG0000322	3	1	4
OG0000323	2	2	4
OG0000324	3	1	4
OG0000325	4	0	4
OG0000326	1	3	4
OG0000327	1	3	4
OG0000328	1	3	4
OG0000329	4	0	4
OG0000330	3	1	4
OG0000331	3	1	4
OG0000332	3	1	4
OG0000333	2	2	4
OG0000334	3	1	4
OG0000335	1	3	4
OG0000336	4	0	4
OG0000337	4	0	4
OG0000338	1	3	4
OG0000339	4	0	4
OG0000340	4	0	4
OG0000341	4	0	4
OG0000342	3	1	4
OG0000343	4	0	4
OG0000344	4	0	4
OG0000345	3	1	4
OG0000346	4	0	4
OG0000347	4	0	4
OG0000348	3	1	4
OG0000349	1	3	4
OG0000350	4	0	4
OG0000351	1	3	4
OG0000352	4	0	4
OG0000353	4	0	4
OG0000354	4	0	4
OG0000355	2	2	4
OG0000356	3	1	4
OG0000357	4	0	4
OG0000358	4	0	4
OG0000359	4	0	4
OG0000360	3	1	4
OG0000361	3	1	4
OG0000362	4	0	4
OG0000363	4	0	4
OG0000364	3	1	4
OG0000365	1	3	4
OG0000366	3	1	4
OG0000367	4	0	4
OG0000368	3	1	4
OG0000369	4	0	4
OG0000370	4	0	4
OG0000371	4	0	4
OG0000372	1	3	4
OG0000373	4	0	4
OG0000374	2	2	4
OG0000375	4	0	4
OG0000376	4	0	4
OG0000377	3	1	4
OG0000378	3	1	4
OG0000379	1	3	4
OG0000380	4	0	4
OG0000381	3	1	4
OG0000382	2	2	4
OG0000383	4	0	4
OG0000384	2	2	4
OG0000385	1	3	4
OG0000386	3	1	4
OG0000387	1	3	4
OG0000388	2	2	4
OG0000389	1	3	4
OG0000390	1	3	4
OG0000391	1	3	4
OG0000392	4	0	4
OG0000393	4	0	4
OG0000394	4	0	4
OG0000395	1	3	4
OG0000396	1	3	4
OG0000397	0	4	4
OG0000398	0	4	4
OG0000399	0	4	4
OG0000400	0	4	4
OG0000401	0	4	4
OG0000402	0	4	4
OG0000403	0	4	4
OG0000404	0	4	4
OG0000405	0	4	4
OG0000406	0	4	4
OG0000407	0	4	4
OG0000408	0	4	4
OG0000409	0	4	4
OG0000410	0	4	4
OG0000411	0	4	4
OG0000412	0	4	4
OG0000413	0	4	4
OG0000414	0	4	4
OG0000415	0	4	4
OG0000416	0	4	4
OG0000417	3	0	3
OG0000418	3	0	3
OG0000419	3	0	3
OG0000420	3	0	3
OG0000421	2	1	3
OG0000422	3	0	3
OG0000423	1	2	3
OG0000424	2	1	3
OG0000425	3	0	3
OG0000426	3	0	3
OG0000427	2	1	3
OG0000428	3	0	3
OG0000429	1	2	3
OG0000430	1	2	3
OG0000431	1	2	3
OG0000432	3	0	3
OG0000433	3	0	3
OG0000434	3	0	3
OG0000435	2	1	3
OG0000436	2	1	3
OG0000437	2	1	3
OG0000438	2	1	3
OG0000439	3	0	3
OG0000440	3	0	3
OG0000441	2	1	3
OG0000442	3	0	3
OG0000443	1	2	3
OG0000444	3	0	3
OG0000445	1	2	3
OG0000446	3	0	3
OG0000447	3	0	3
OG0000448	3	0	3
OG0000449	1	2	3
OG0000450	2	1	3
OG0000451	3	0	3
OG0000452	1	2	3
OG0000453	1	2	3
OG0000454	3	0	3
OG0000455	2	1	3
OG0000456	3	0	3
OG0000457	3	0	3
OG0000458	1	2	3
OG0000459	2	1	3
OG0000460	2	1	3
OG0000461	3	0	3
OG0000462	2	1	3
OG0000463	1	2	3
OG0000464	3	0	3
OG0000465	1	2	3
OG0000466	2	1	3
OG0000467	3	0	3
OG0000468	3	0	3
OG0000469	3	0	3
OG0000470	2	1	3
OG0000471	1	2	3
OG0000472	3	0	3
OG0000473	2	1	3
OG0000474	3	0	3
OG0000475	3	0	3
OG0000476	1	2	3
OG0000477	3	0	3
OG0000478	3	0	3
OG0000479	1	2	3
OG0000480	2	1	3
OG0000481	2	1	3
OG0000482	2	1	3
OG0000483	1	2	3
OG0000484	2	1	3
OG0000485	1	2	3
OG0000486	2	1	3
OG0000487	3	0	3
OG0000488	2	1	3
OG0000489	2	1	3
OG0000490	3	0	3
OG0000491	3	0	3
OG0000492	2	1	3
OG0000493	1	2	3
OG0000494	3	0	3
OG0000495	2	1	3
OG0000496	3	0	3
OG0000497	3	0	3
OG0000498	2	1	3
OG0000499	1	2	3
OG0000500	1	2	3
OG0000501	2	1	3
OG0000502	2	1	3
OG0000503	2	1	3
OG0000504	3	0	3
OG0000505	1	2	3
OG0000506	2	1	3
OG0000507	2	1	3
OG0000508	2	1	3
OG0000509	2	1	3
OG0000510	3	0	3
OG0000511	2	1	3
OG0000512	3	0	3
OG0000513	3	0	3
OG0000514	1	2	3
OG0000515	2	1	3
OG0000516	1	2	3
OG0000517	3	0	3
OG0000518	2	1	3
OG0000519	1	2	3
OG0000520	1	2	3
OG0000521	2	1	3
OG0000522	1	2	3
OG0000523	3	0	3
OG0000524	3	0	3
OG0000525	1	2	3
OG0000526	1	2	3
OG0000527	3	0	3
OG0000528	1	2	3
OG0000529	1	2	3
OG0000530	1	2	3
OG0000531	3	0	3
OG0000532	1	2	3
OG0000533	1	2	3
OG0000534	3	0	3
OG0000535	1	2	3
OG0000536	3	0	3
OG0000537	3	0	3
OG0000538	2	1	3
OG0000539	3	0	3
OG0000540	1	2	3
OG0000541	3	0	3
OG0000542	1	2	3
OG0000543	1	2	3
OG0000544	1	2	3
OG0000545	2	1	3
OG0000546	2	1	3
OG0000547	1	2	3
OG0000548	1	2	3
OG0000549	2	1	3
OG0000550	3	0	3
OG0000551	1	2	3
OG0000552	3	0	3
OG0000553	2	1	3
OG0000554	3	0	3
OG0000555	1	2	3
OG0000556	1	2	3
OG0000557	1	2	3
OG0000558	3	0	3
OG0000559	3	0	3
OG0000560	3	0	3
OG0000561	3	0	3
OG0000562	1	2	3
OG0000563	3	0	3
OG0000564	2	1	3
OG0000565	1	2	3
OG0000566	2	1	3
OG0000567	2	1	3
OG0000568	1	2	3
OG0000569	2	1	3
OG0000570	1	2	3
OG0000571	2	1	3
OG0000572	2	1	3
OG0000573	3	0	3
OG0000574	2	1	3
OG0000575	1	2	3
OG0000576	2	1	3
OG0000577	2	1	3
OG0000578	1	2	3
OG0000579	1	2	3
OG0000580	1	2	3
OG0000581	3	0	3
OG0000582	3	0	3
OG0000583	2	1	3
OG0000584	1	2	3
OG0000585	1	2	3
OG0000586	3	0	3
OG0000587	1	2	3
OG0000588	1	2	3
OG0000589	2	1	3
OG0000590	2	1	3
OG0000591	1	2	3
OG0000592	3	0	3
OG0000593	3	0	3
OG0000594	3	0	3
OG0000595	1	2	3
OG0000596	1	2	3
OG0000597	2	1	3
OG0000598	2	1	3
OG0000599	2	1	3
OG0000600	1	2	3
OG0000601	1	2	3
OG0000602	3	0	3
OG0000603	2	1	3
OG0000604	3	0	3
OG0000605	3	0	3
OG0000606	1	2	3
OG0000607	3	0	3
OG0000608	1	2	3
OG0000609	3	0	3
OG0000610	2	1	3
OG0000611	1	2	3
OG0000612	1	2	3
OG0000613	2	1	3
OG0000614	3	0	3
OG0000615	2	1	3
OG0000616	1	2	3
OG0000617	1	2	3
OG0000618	3	0	3
OG0000619	3	0	3
OG0000620	2	1	3
OG0000621	3	0	3
OG0000622	2	1	3
OG0000623	1	2	3
OG0000624	1	2	3
OG0000625	1	2	3
OG0000626	1	2	3
OG0000627	2	1	3
OG0000628	2	1	3
OG0000629	1	2	3
OG0000630	1	2	3
OG0000631	3	0	3
OG0000632	1	2	3
OG0000633	1	2	3
OG0000634	1	2	3
OG0000635	2	1	3
OG0000636	1	2	3
OG0000637	2	1	3
OG0000638	1	2	3
OG0000639	1	2	3
OG0000640	2	1	3
OG0000641	1	2	3
OG0000642	2	1	3
OG0000643	1	2	3
OG0000644	1	2	3
OG0000645	1	2	3
OG0000646	1	2	3
OG0000647	1	2	3
OG0000648	2	1	3
OG0000649	1	2	3
OG0000650	3	0	3
OG0000651	1	2	3
OG0000652	3	0	3
OG0000653	1	2	3
OG0000654	1	2	3
OG0000655	2	1	3
OG0000656	2	1	3
OG0000657	3	0	3
OG0000658	1	2	3
OG0000659	1	2	3
OG0000660	3	0	3
OG0000661	3	0	3
OG0000662	2	1	3
OG0000663	3	0	3
OG0000664	3	0	3
OG0000665	1	2	3
OG0000666	3	0	3
OG0000667	3	0	3
OG0000668	3	0	3
OG0000669	3	0	3
OG0000670	3	0	3
OG0000671	3	0	3
OG0000672	2	1	3
OG0000673	1	2	3
OG0000674	1	2	3
OG0000675	3	0	3
OG0000676	3	0	3
OG0000677	3	0	3
OG0000678	3	0	3
OG0000679	2	1	3
OG0000680	2	1	3
OG0000681	1	2	3
OG0000682	3	0	3
OG0000683	3	0	3
OG0000684	2	1	3
OG0000685	1	2	3
OG0000686	1	2	3
OG0000687	2	1	3
OG0000688	1	2	3
OG0000689	3	0	3
OG0000690	2	1	3
OG0000691	3	0	3
OG0000692	2	1	3
OG0000693	3	0	3
OG0000694	2	1	3
OG0000695	2	1	3
OG0000696	2	1	3
OG0000697	1	2	3
OG0000698	2	1	3
OG0000699	1	2	3
OG0000700	1	2	3
OG0000701	3	0	3
OG0000702	3	0	3
OG0000703	1	2	3
OG0000704	1	2	3
OG0000705	3	0	3
OG0000706	3	0	3
OG0000707	3	0	3
OG0000708	2	1	3
OG0000709	3	0	3
OG0000710	1	2	3
OG0000711	3	0	3
OG0000712	1	2	3
OG0000713	1	2	3
OG0000714	1	2	3
OG0000715	3	0	3
OG0000716	3	0	3
OG0000717	2	1	3
OG0000718	2	1	3
OG0000719	2	1	3
OG0000720	3	0	3
OG0000721	3	0	3
OG0000722	3	0	3
OG0000723	3	0	3
OG0000724	2	1	3
OG0000725	2	1	3
OG0000726	2	1	3
OG0000727	1	2	3
OG0000728	1	2	3
OG0000729	1	2	3
OG0000730	2	1	3
OG0000731	3	0	3
OG0000732	1	2	3
OG0000733	3	0	3
OG0000734	1	2	3
OG0000735	2	1	3
OG0000736	2	1	3
OG0000737	1	2	3
OG0000738	1	2	3
OG0000739	3	0	3
OG0000740	1	2	3
OG0000741	2	1	3
OG0000742	1	2	3
OG0000743	1	2	3
OG0000744	1	2	3
OG0000745	2	1	3
OG0000746	1	2	3
OG0000747	2	1	3
OG0000748	2	1	3
OG0000749	3	0	3
OG0000750	2	1	3
OG0000751	1	2	3
OG0000752	1	2	3
OG0000753	1	2	3
OG0000754	2	1	3
OG0000755	2	1	3
OG0000756	3	0	3
OG0000757	1	2	3
OG0000758	2	1	3
OG0000759	2	1	3
OG0000760	1	2	3
OG0000761	1	2	3
OG0000762	2	1	3
OG0000763	2	1	3
OG0000764	3	0	3
OG0000765	3	0	3
OG0000766	3	0	3
OG0000767	1	2	3
OG0000768	3	0	3
OG0000769	3	0	3
OG0000770	1	2	3
OG0000771	2	1	3
OG0000772	1	2	3
OG0000773	1	2	3
OG0000774	2	1	3
OG0000775	1	2	3
OG0000776	1	2	3
OG0000777	1	2	3
OG0000778	1	2	3
OG0000779	3	0	3
OG0000780	3	0	3
OG0000781	3	0	3
OG0000782	2	1	3
OG0000783	2	1	3
OG0000784	1	2	3
OG0000785	1	2	3
OG0000786	1	2	3
OG0000787	1	2	3
OG0000788	3	0	3
OG0000789	1	2	3
OG0000790	1	2	3
OG0000791	1	2	3
OG0000792	3	0	3
OG0000793	1	2	3
OG0000794	2	1	3
OG0000795	2	1	3
OG0000796	1	2	3
OG0000797	1	2	3
OG0000798	1	2	3
OG0000799	1	2	3
OG0000800	3	0	3
OG0000801	1	2	3
OG0000802	1	2	3
OG0000803	2	1	3
OG0000804	3	0	3
OG0000805	3	0	3
OG0000806	3	0	3
OG0000807	1	2	3
OG0000808	1	2	3
OG0000809	1	2	3
OG0000810	1	2	3
OG0000811	1	2	3
OG0000812	0	3	3
OG0000813	0	3	3
OG0000814	0	3	3
OG0000815	0	3	3
OG0000816	0	3	3
OG0000817	0	3	3
OG0000818	0	3	3
OG0000819	0	3	3
OG0000820	0	3	3
OG0000821	0	3	3
OG0000822	0	3	3
OG0000823	0	3	3
OG0000824	0	3	3
OG0000825	0	3	3
OG0000826	0	3	3
OG0000827	0	3	3
OG0000828	0	3	3
OG0000829	0	3	3
OG0000830	0	3	3
OG0000831	0	3	3
OG0000832	0	3	3
OG0000833	0	3	3
OG0000834	0	3	3
OG0000835	0	3	3
OG0000836	0	3	3
OG0000837	0	3	3
OG0000838	0	3	3
OG0000839	0	3	3
OG0000840	0	3	3
OG0000841	0	3	3
OG0000842	0	3	3
OG0000843	0	3	3
OG0000844	0	3	3
OG0000845	0	3	3
OG0000846	0	3	3
OG0000847	0	3	3
OG0000848	0	3	3
OG0000849	0	3	3
OG0000850	0	3	3
OG0000851	0	3	3
OG0000852	0	3	3
OG0000853	2	0	2
OG0000854	1	1	2
OG0000855	2	0	2
OG0000856	1	1	2
OG0000857	1	1	2
OG0000858	2	0	2
OG0000859	2	0	2
OG0000860	2	0	2
OG0000861	2	0	2
OG0000862	1	1	2
OG0000863	1	1	2
OG0000864	2	0	2
OG0000865	1	1	2
OG0000866	2	0	2
OG0000867	2	0	2
OG0000868	1	1	2
OG0000869	2	0	2
OG0000870	1	1	2
OG0000871	1	1	2
OG0000872	1	1	2
