Orthogroup	costa_cerevisiae_pos_go	protein_mansoni	Total
OG0000000	0	111	111
OG0000001	0	52	52
OG0000002	1	49	50
OG0000003	0	43	43
OG0000004	0	42	42
OG0000005	0	39	39
OG0000006	0	32	32
OG0000007	0	29	29
OG0000008	0	28	28
OG0000009	0	23	23
OG0000010	0	23	23
OG0000011	0	22	22
OG0000012	0	22	22
OG0000013	0	22	22
OG0000014	0	21	21
OG0000015	0	21	21
OG0000016	0	21	21
OG0000017	0	21	21
OG0000018	0	20	20
OG0000019	0	20	20
OG0000020	0	20	20
OG0000021	0	19	19
OG0000022	0	19	19
OG0000023	0	19	19
OG0000024	0	19	19
OG0000025	1	17	18
OG0000026	1	17	18
OG0000027	0	18	18
OG0000028	0	18	18
OG0000029	2	15	17
OG0000030	0	17	17
OG0000031	0	17	17
OG0000032	0	16	16
OG0000033	0	16	16
OG0000034	0	16	16
OG0000035	0	16	16
OG0000036	0	16	16
OG0000037	9	6	15
OG0000038	0	15	15
OG0000039	0	15	15
OG0000040	0	14	14
OG0000041	0	14	14
OG0000042	0	14	14
OG0000043	8	5	13
OG0000044	1	12	13
OG0000045	1	12	13
OG0000046	0	13	13
OG0000047	0	13	13
OG0000048	0	13	13
OG0000049	0	13	13
OG0000050	0	13	13
OG0000051	0	13	13
OG0000052	0	13	13
OG0000053	0	12	12
OG0000054	0	12	12
OG0000055	0	12	12
OG0000056	0	12	12
OG0000057	0	12	12
OG0000058	0	12	12
OG0000059	0	12	12
OG0000060	0	12	12
OG0000061	0	12	12
OG0000062	0	12	12
OG0000063	0	12	12
OG0000064	0	12	12
OG0000065	0	12	12
OG0000066	0	12	12
OG0000067	6	5	11
OG0000068	1	10	11
OG0000069	0	11	11
OG0000070	0	11	11
OG0000071	0	11	11
OG0000072	0	11	11
OG0000073	0	11	11
OG0000074	0	11	11
OG0000075	0	11	11
OG0000076	0	11	11
OG0000077	0	11	11
OG0000078	0	11	11
OG0000079	0	11	11
OG0000080	0	10	10
OG0000081	0	10	10
OG0000082	0	10	10
OG0000083	0	10	10
OG0000084	0	10	10
OG0000085	0	10	10
OG0000086	0	10	10
OG0000087	0	10	10
OG0000088	0	10	10
OG0000089	0	10	10
OG0000090	0	10	10
OG0000091	0	10	10
OG0000092	0	10	10
OG0000093	0	10	10
OG0000094	0	10	10
OG0000095	4	5	9
OG0000096	0	9	9
OG0000097	0	9	9
OG0000098	0	9	9
OG0000099	0	9	9
OG0000100	0	9	9
OG0000101	0	9	9
OG0000102	0	9	9
OG0000103	0	9	9
OG0000104	0	9	9
OG0000105	0	9	9
OG0000106	0	9	9
OG0000107	0	9	9
OG0000108	0	9	9
OG0000109	0	9	9
OG0000110	0	9	9
OG0000111	0	9	9
OG0000112	2	6	8
OG0000113	5	3	8
OG0000114	1	7	8
OG0000115	4	4	8
OG0000116	1	7	8
OG0000117	0	8	8
OG0000118	0	8	8
OG0000119	0	8	8
OG0000120	0	8	8
OG0000121	0	8	8
OG0000122	0	8	8
OG0000123	0	8	8
OG0000124	0	8	8
OG0000125	0	8	8
OG0000126	0	8	8
OG0000127	0	8	8
OG0000128	0	8	8
OG0000129	0	8	8
OG0000130	0	8	8
OG0000131	1	6	7
OG0000132	3	4	7
OG0000133	1	6	7
OG0000134	0	7	7
OG0000135	0	7	7
OG0000136	0	7	7
OG0000137	0	7	7
OG0000138	0	7	7
OG0000139	0	7	7
OG0000140	0	7	7
OG0000141	0	7	7
OG0000142	0	7	7
OG0000143	0	7	7
OG0000144	0	7	7
OG0000145	0	7	7
OG0000146	0	7	7
OG0000147	0	7	7
OG0000148	0	7	7
OG0000149	0	7	7
OG0000150	0	7	7
OG0000151	0	7	7
OG0000152	0	7	7
OG0000153	0	7	7
OG0000154	3	3	6
OG0000155	1	5	6
OG0000156	3	3	6
OG0000157	0	6	6
OG0000158	0	6	6
OG0000159	0	6	6
OG0000160	0	6	6
OG0000161	0	6	6
OG0000162	0	6	6
OG0000163	0	6	6
OG0000164	0	6	6
OG0000165	0	6	6
OG0000166	0	6	6
OG0000167	0	6	6
OG0000168	0	6	6
OG0000169	0	6	6
OG0000170	0	6	6
OG0000171	0	6	6
OG0000172	0	6	6
OG0000173	0	6	6
OG0000174	0	6	6
OG0000175	0	6	6
OG0000176	0	6	6
OG0000177	0	6	6
OG0000178	0	6	6
OG0000179	0	6	6
OG0000180	0	6	6
OG0000181	0	6	6
OG0000182	0	6	6
OG0000183	0	6	6
OG0000184	0	6	6
OG0000185	0	6	6
OG0000186	0	6	6
OG0000187	0	6	6
OG0000188	0	6	6
OG0000189	0	6	6
OG0000190	0	6	6
OG0000191	0	6	6
OG0000192	0	6	6
OG0000193	0	6	6
OG0000194	0	6	6
OG0000195	2	3	5
OG0000196	1	4	5
OG0000197	1	4	5
OG0000198	1	4	5
OG0000199	1	4	5
OG0000200	0	5	5
OG0000201	0	5	5
OG0000202	0	5	5
OG0000203	0	5	5
OG0000204	0	5	5
OG0000205	0	5	5
OG0000206	0	5	5
OG0000207	0	5	5
OG0000208	0	5	5
OG0000209	0	5	5
OG0000210	0	5	5
OG0000211	0	5	5
OG0000212	0	5	5
OG0000213	0	5	5
OG0000214	0	5	5
OG0000215	0	5	5
OG0000216	0	5	5
OG0000217	0	5	5
OG0000218	0	5	5
OG0000219	0	5	5
OG0000220	0	5	5
OG0000221	0	5	5
OG0000222	0	5	5
OG0000223	0	5	5
OG0000224	0	5	5
OG0000225	0	5	5
OG0000226	0	5	5
OG0000227	0	5	5
OG0000228	0	5	5
OG0000229	0	5	5
OG0000230	0	5	5
OG0000231	0	5	5
OG0000232	0	5	5
OG0000233	0	5	5
OG0000234	0	5	5
OG0000235	0	5	5
OG0000236	0	5	5
OG0000237	0	5	5
OG0000238	0	5	5
OG0000239	0	5	5
OG0000240	0	5	5
OG0000241	0	5	5
OG0000242	0	5	5
OG0000243	0	5	5
OG0000244	0	5	5
OG0000245	0	5	5
OG0000246	0	5	5
OG0000247	0	5	5
OG0000248	0	5	5
OG0000249	0	5	5
OG0000250	1	3	4
OG0000251	2	2	4
OG0000252	1	3	4
OG0000253	3	1	4
OG0000254	1	3	4
OG0000255	3	1	4
OG0000256	2	2	4
OG0000257	1	3	4
OG0000258	2	2	4
OG0000259	1	3	4
OG0000260	2	2	4
OG0000261	2	2	4
OG0000262	2	2	4
OG0000263	2	2	4
OG0000264	2	2	4
OG0000265	2	2	4
OG0000266	1	3	4
OG0000267	2	2	4
OG0000268	2	2	4
OG0000269	1	3	4
OG0000270	1	3	4
OG0000271	2	2	4
OG0000272	2	2	4
OG0000273	1	3	4
OG0000274	1	3	4
OG0000275	1	3	4
OG0000276	1	3	4
OG0000277	1	3	4
OG0000278	1	3	4
OG0000279	1	3	4
OG0000280	0	4	4
OG0000281	0	4	4
OG0000282	0	4	4
OG0000283	0	4	4
OG0000284	0	4	4
OG0000285	0	4	4
OG0000286	0	4	4
OG0000287	0	4	4
OG0000288	0	4	4
OG0000289	0	4	4
OG0000290	0	4	4
OG0000291	0	4	4
OG0000292	0	4	4
OG0000293	0	4	4
OG0000294	0	4	4
OG0000295	0	4	4
OG0000296	0	4	4
OG0000297	0	4	4
OG0000298	0	4	4
OG0000299	0	4	4
OG0000300	0	4	4
OG0000301	0	4	4
OG0000302	0	4	4
OG0000303	0	4	4
OG0000304	0	4	4
OG0000305	0	4	4
OG0000306	0	4	4
OG0000307	0	4	4
OG0000308	0	4	4
OG0000309	0	4	4
OG0000310	0	4	4
OG0000311	0	4	4
OG0000312	0	4	4
OG0000313	0	4	4
OG0000314	0	4	4
OG0000315	0	4	4
OG0000316	0	4	4
OG0000317	0	4	4
OG0000318	0	4	4
OG0000319	0	4	4
OG0000320	0	4	4
OG0000321	0	4	4
OG0000322	0	4	4
OG0000323	0	4	4
OG0000324	0	4	4
OG0000325	0	4	4
OG0000326	0	4	4
OG0000327	0	4	4
OG0000328	0	4	4
OG0000329	0	4	4
OG0000330	0	4	4
OG0000331	0	4	4
OG0000332	0	4	4
OG0000333	0	4	4
OG0000334	0	4	4
OG0000335	0	4	4
OG0000336	0	4	4
OG0000337	0	4	4
OG0000338	0	4	4
OG0000339	0	4	4
OG0000340	0	4	4
OG0000341	0	4	4
OG0000342	0	4	4
OG0000343	0	4	4
OG0000344	0	4	4
OG0000345	0	4	4
OG0000346	0	4	4
OG0000347	0	4	4
OG0000348	0	4	4
OG0000349	0	4	4
OG0000350	0	4	4
OG0000351	0	4	4
OG0000352	0	4	4
OG0000353	0	4	4
OG0000354	0	4	4
OG0000355	0	4	4
OG0000356	0	4	4
OG0000357	0	4	4
OG0000358	0	4	4
OG0000359	0	4	4
OG0000360	0	4	4
OG0000361	0	4	4
OG0000362	0	4	4
OG0000363	0	4	4
OG0000364	0	4	4
OG0000365	0	4	4
OG0000366	0	4	4
OG0000367	0	4	4
OG0000368	0	4	4
OG0000369	1	2	3
OG0000370	1	2	3
OG0000371	3	0	3
OG0000372	1	2	3
OG0000373	1	2	3
OG0000374	1	2	3
OG0000375	2	1	3
OG0000376	2	1	3
OG0000377	2	1	3
OG0000378	1	2	3
OG0000379	1	2	3
OG0000380	1	2	3
OG0000381	1	2	3
OG0000382	1	2	3
OG0000383	2	1	3
OG0000384	2	1	3
OG0000385	2	1	3
OG0000386	1	2	3
OG0000387	1	2	3
OG0000388	1	2	3
OG0000389	2	1	3
OG0000390	2	1	3
OG0000391	2	1	3
OG0000392	2	1	3
OG0000393	1	2	3
OG0000394	1	2	3
OG0000395	1	2	3
OG0000396	1	2	3
OG0000397	2	1	3
OG0000398	1	2	3
OG0000399	2	1	3
OG0000400	2	1	3
OG0000401	2	1	3
OG0000402	1	2	3
OG0000403	1	2	3
OG0000404	1	2	3
OG0000405	1	2	3
OG0000406	1	2	3
OG0000407	1	2	3
OG0000408	1	2	3
OG0000409	1	2	3
OG0000410	1	2	3
OG0000411	1	2	3
OG0000412	1	2	3
OG0000413	1	2	3
OG0000414	1	2	3
OG0000415	1	2	3
OG0000416	2	1	3
OG0000417	1	2	3
OG0000418	1	2	3
OG0000419	1	2	3
OG0000420	1	2	3
OG0000421	1	2	3
OG0000422	1	2	3
OG0000423	1	2	3
OG0000424	1	2	3
OG0000425	0	3	3
OG0000426	0	3	3
OG0000427	0	3	3
OG0000428	0	3	3
OG0000429	0	3	3
OG0000430	0	3	3
OG0000431	0	3	3
OG0000432	0	3	3
OG0000433	0	3	3
OG0000434	0	3	3
OG0000435	0	3	3
OG0000436	0	3	3
OG0000437	0	3	3
OG0000438	0	3	3
OG0000439	0	3	3
OG0000440	0	3	3
OG0000441	0	3	3
OG0000442	0	3	3
OG0000443	0	3	3
OG0000444	0	3	3
OG0000445	0	3	3
OG0000446	0	3	3
OG0000447	0	3	3
OG0000448	0	3	3
OG0000449	0	3	3
OG0000450	0	3	3
OG0000451	0	3	3
OG0000452	0	3	3
OG0000453	0	3	3
OG0000454	0	3	3
OG0000455	0	3	3
OG0000456	0	3	3
OG0000457	0	3	3
OG0000458	0	3	3
OG0000459	0	3	3
OG0000460	0	3	3
OG0000461	0	3	3
OG0000462	0	3	3
OG0000463	0	3	3
OG0000464	0	3	3
OG0000465	0	3	3
OG0000466	0	3	3
OG0000467	0	3	3
OG0000468	0	3	3
OG0000469	0	3	3
OG0000470	0	3	3
OG0000471	0	3	3
OG0000472	0	3	3
OG0000473	0	3	3
OG0000474	0	3	3
OG0000475	0	3	3
OG0000476	0	3	3
OG0000477	0	3	3
OG0000478	0	3	3
OG0000479	0	3	3
OG0000480	0	3	3
OG0000481	0	3	3
OG0000482	0	3	3
OG0000483	0	3	3
OG0000484	0	3	3
OG0000485	0	3	3
OG0000486	0	3	3
OG0000487	0	3	3
OG0000488	0	3	3
OG0000489	0	3	3
OG0000490	0	3	3
OG0000491	0	3	3
OG0000492	0	3	3
OG0000493	0	3	3
OG0000494	0	3	3
OG0000495	0	3	3
OG0000496	0	3	3
OG0000497	0	3	3
OG0000498	0	3	3
OG0000499	0	3	3
OG0000500	0	3	3
OG0000501	0	3	3
OG0000502	0	3	3
OG0000503	0	3	3
OG0000504	0	3	3
OG0000505	0	3	3
OG0000506	0	3	3
OG0000507	0	3	3
OG0000508	0	3	3
OG0000509	0	3	3
OG0000510	0	3	3
OG0000511	0	3	3
OG0000512	0	3	3
OG0000513	0	3	3
OG0000514	0	3	3
OG0000515	0	3	3
OG0000516	0	3	3
OG0000517	0	3	3
OG0000518	0	3	3
OG0000519	0	3	3
OG0000520	0	3	3
OG0000521	0	3	3
OG0000522	0	3	3
OG0000523	0	3	3
OG0000524	0	3	3
OG0000525	0	3	3
OG0000526	0	3	3
OG0000527	0	3	3
OG0000528	0	3	3
OG0000529	0	3	3
OG0000530	0	3	3
OG0000531	0	3	3
OG0000532	0	3	3
OG0000533	0	3	3
OG0000534	0	3	3
OG0000535	0	3	3
OG0000536	0	3	3
OG0000537	0	3	3
OG0000538	0	3	3
OG0000539	0	3	3
OG0000540	0	3	3
OG0000541	0	3	3
OG0000542	0	3	3
OG0000543	0	3	3
OG0000544	0	3	3
OG0000545	0	3	3
OG0000546	0	3	3
OG0000547	0	3	3
OG0000548	0	3	3
OG0000549	0	3	3
OG0000550	0	3	3
OG0000551	0	3	3
OG0000552	0	3	3
OG0000553	0	3	3
OG0000554	0	3	3
OG0000555	0	3	3
OG0000556	0	3	3
OG0000557	0	3	3
OG0000558	0	3	3
OG0000559	0	3	3
OG0000560	0	3	3
OG0000561	0	3	3
OG0000562	0	3	3
OG0000563	0	3	3
OG0000564	0	3	3
OG0000565	0	3	3
OG0000566	0	3	3
OG0000567	0	3	3
OG0000568	0	3	3
OG0000569	0	3	3
OG0000570	0	3	3
OG0000571	0	3	3
OG0000572	0	3	3
OG0000573	0	3	3
OG0000574	0	3	3
OG0000575	0	3	3
OG0000576	0	3	3
OG0000577	0	3	3
OG0000578	0	3	3
OG0000579	0	3	3
OG0000580	0	3	3
OG0000581	0	3	3
OG0000582	0	3	3
OG0000583	0	3	3
OG0000584	0	3	3
OG0000585	0	3	3
OG0000586	0	3	3
OG0000587	0	3	3
OG0000588	0	3	3
OG0000589	0	3	3
OG0000590	0	3	3
OG0000591	0	3	3
OG0000592	0	3	3
OG0000593	0	3	3
OG0000594	0	3	3
OG0000595	0	3	3
OG0000596	0	3	3
OG0000597	0	3	3
OG0000598	0	3	3
OG0000599	0	3	3
OG0000600	0	3	3
OG0000601	1	1	2
OG0000602	1	1	2
OG0000603	1	1	2
OG0000604	1	1	2
OG0000605	1	1	2
OG0000606	1	1	2
OG0000607	1	1	2
OG0000608	1	1	2
OG0000609	1	1	2
OG0000610	1	1	2
OG0000611	1	1	2
OG0000612	1	1	2
OG0000613	1	1	2
OG0000614	1	1	2
OG0000615	1	1	2
OG0000616	1	1	2
OG0000617	1	1	2
OG0000618	1	1	2
OG0000619	1	1	2
OG0000620	1	1	2
OG0000621	1	1	2
OG0000622	1	1	2
OG0000623	1	1	2
OG0000624	1	1	2
OG0000625	1	1	2
OG0000626	1	1	2
OG0000627	1	1	2
OG0000628	1	1	2
OG0000629	1	1	2
OG0000630	1	1	2
OG0000631	1	1	2
OG0000632	1	1	2
OG0000633	1	1	2
OG0000634	1	1	2
OG0000635	1	1	2
OG0000636	1	1	2
OG0000637	1	1	2
OG0000638	1	1	2
OG0000639	1	1	2
OG0000640	1	1	2
OG0000641	1	1	2
OG0000642	1	1	2
OG0000643	1	1	2
OG0000644	1	1	2
OG0000645	1	1	2
OG0000646	1	1	2
OG0000647	1	1	2
OG0000648	1	1	2
OG0000649	1	1	2
OG0000650	1	1	2
OG0000651	1	1	2
OG0000652	1	1	2
OG0000653	1	1	2
OG0000654	1	1	2
OG0000655	1	1	2
OG0000656	1	1	2
OG0000657	1	1	2
OG0000658	1	1	2
OG0000659	1	1	2
OG0000660	1	1	2
OG0000661	1	1	2
OG0000662	1	1	2
OG0000663	1	1	2
OG0000664	1	1	2
OG0000665	1	1	2
OG0000666	1	1	2
OG0000667	1	1	2
OG0000668	1	1	2
OG0000669	1	1	2
OG0000670	1	1	2
OG0000671	1	1	2
OG0000672	1	1	2
OG0000673	1	1	2
OG0000674	1	1	2
OG0000675	1	1	2
OG0000676	1	1	2
OG0000677	1	1	2
OG0000678	1	1	2
OG0000679	1	1	2
OG0000680	1	1	2
OG0000681	1	1	2
OG0000682	1	1	2
OG0000683	1	1	2
OG0000684	1	1	2
OG0000685	1	1	2
OG0000686	1	1	2
OG0000687	1	1	2
OG0000688	1	1	2
OG0000689	1	1	2
OG0000690	1	1	2
OG0000691	1	1	2
OG0000692	1	1	2
OG0000693	1	1	2
OG0000694	1	1	2
OG0000695	1	1	2
OG0000696	2	0	2
OG0000697	1	1	2
OG0000698	1	1	2
OG0000699	1	1	2
OG0000700	1	1	2
OG0000701	1	1	2
OG0000702	1	1	2
OG0000703	1	1	2
OG0000704	1	1	2
OG0000705	1	1	2
OG0000706	1	1	2
OG0000707	1	1	2
OG0000708	1	1	2
OG0000709	1	1	2
OG0000710	1	1	2
OG0000711	1	1	2
OG0000712	1	1	2
OG0000713	1	1	2
OG0000714	1	1	2
OG0000715	1	1	2
OG0000716	1	1	2
OG0000717	1	1	2
OG0000718	1	1	2
OG0000719	1	1	2
OG0000720	1	1	2
OG0000721	1	1	2
OG0000722	1	1	2
OG0000723	1	1	2
OG0000724	1	1	2
OG0000725	1	1	2
OG0000726	1	1	2
OG0000727	1	1	2
OG0000728	1	1	2
OG0000729	1	1	2
OG0000730	1	1	2
OG0000731	1	1	2
OG0000732	1	1	2
OG0000733	1	1	2
OG0000734	1	1	2
OG0000735	1	1	2
OG0000736	1	1	2
OG0000737	1	1	2
OG0000738	1	1	2
OG0000739	1	1	2
OG0000740	1	1	2
OG0000741	1	1	2
OG0000742	1	1	2
OG0000743	1	1	2
OG0000744	1	1	2
OG0000745	1	1	2
OG0000746	1	1	2
OG0000747	1	1	2
OG0000748	1	1	2
OG0000749	1	1	2
OG0000750	1	1	2
OG0000751	1	1	2
OG0000752	1	1	2
OG0000753	1	1	2
OG0000754	1	1	2
OG0000755	1	1	2
OG0000756	1	1	2
OG0000757	1	1	2
OG0000758	1	1	2
OG0000759	1	1	2
OG0000760	1	1	2
OG0000761	1	1	2
OG0000762	1	1	2
OG0000763	1	1	2
OG0000764	1	1	2
OG0000765	1	1	2
OG0000766	1	1	2
OG0000767	1	1	2
OG0000768	1	1	2
OG0000769	1	1	2
OG0000770	1	1	2
OG0000771	1	1	2
OG0000772	1	1	2
OG0000773	1	1	2
OG0000774	1	1	2
OG0000775	1	1	2
OG0000776	1	1	2
OG0000777	1	1	2
OG0000778	1	1	2
OG0000779	1	1	2
OG0000780	1	1	2
OG0000781	1	1	2
OG0000782	1	1	2
OG0000783	1	1	2
OG0000784	1	1	2
OG0000785	1	1	2
OG0000786	1	1	2
OG0000787	1	1	2
OG0000788	1	1	2
