Orthogroup	kog_elegans_pos_go	protein_mansoni	Total
OG0000000	2	110	112
OG0000001	52	0	52
OG0000002	0	52	52
OG0000003	49	0	49
OG0000004	46	0	46
OG0000005	2	40	42
OG0000006	36	0	36
OG0000007	34	0	34
OG0000008	1	32	33
OG0000009	32	0	32
OG0000010	32	0	32
OG0000011	30	0	30
OG0000012	29	0	29
OG0000013	0	29	29
OG0000014	26	1	27
OG0000015	25	1	26
OG0000016	26	0	26
OG0000017	26	0	26
OG0000018	23	0	23
OG0000019	0	23	23
OG0000020	21	1	22
OG0000021	22	0	22
OG0000022	22	0	22
OG0000023	22	0	22
OG0000024	0	22	22
OG0000025	0	22	22
OG0000026	0	21	21
OG0000027	0	21	21
OG0000028	20	0	20
OG0000029	18	2	20
OG0000030	20	0	20
OG0000031	19	1	20
OG0000032	18	0	18
OG0000033	17	1	18
OG0000034	18	0	18
OG0000035	0	18	18
OG0000036	17	0	17
OG0000037	17	0	17
OG0000038	17	0	17
OG0000039	0	17	17
OG0000040	0	17	17
OG0000041	16	0	16
OG0000042	16	0	16
OG0000043	11	4	15
OG0000044	15	0	15
OG0000045	0	15	15
OG0000046	3	11	14
OG0000047	14	0	14
OG0000048	0	14	14
OG0000049	0	14	14
OG0000050	0	14	14
OG0000051	0	13	13
OG0000052	1	11	12
OG0000053	12	0	12
OG0000054	1	11	12
OG0000055	12	0	12
OG0000056	12	0	12
OG0000057	11	1	12
OG0000058	11	1	12
OG0000059	0	12	12
OG0000060	0	12	12
OG0000061	0	12	12
OG0000062	11	0	11
OG0000063	1	10	11
OG0000064	11	0	11
OG0000065	10	1	11
OG0000066	0	11	11
OG0000067	0	11	11
OG0000068	0	11	11
OG0000069	0	11	11
OG0000070	1	9	10
OG0000071	2	8	10
OG0000072	10	0	10
OG0000073	10	0	10
OG0000074	0	10	10
OG0000075	0	10	10
OG0000076	0	10	10
OG0000077	1	8	9
OG0000078	9	0	9
OG0000079	9	0	9
OG0000080	8	1	9
OG0000081	3	6	9
OG0000082	8	1	9
OG0000083	9	0	9
OG0000084	8	1	9
OG0000085	1	8	9
OG0000086	9	0	9
OG0000087	9	0	9
OG0000088	9	0	9
OG0000089	9	0	9
OG0000090	9	0	9
OG0000091	0	9	9
OG0000092	0	9	9
OG0000093	0	9	9
OG0000094	0	9	9
OG0000095	0	9	9
OG0000096	0	9	9
OG0000097	0	9	9
OG0000098	0	9	9
OG0000099	0	9	9
OG0000100	0	9	9
OG0000101	4	4	8
OG0000102	8	0	8
OG0000103	8	0	8
OG0000104	8	0	8
OG0000105	8	0	8
OG0000106	7	1	8
OG0000107	7	1	8
OG0000108	8	0	8
OG0000109	1	7	8
OG0000110	1	7	8
OG0000111	8	0	8
OG0000112	8	0	8
OG0000113	8	0	8
OG0000114	8	0	8
OG0000115	8	0	8
OG0000116	6	2	8
OG0000117	8	0	8
OG0000118	0	8	8
OG0000119	0	8	8
OG0000120	0	8	8
OG0000121	0	8	8
OG0000122	0	8	8
OG0000123	0	8	8
OG0000124	0	8	8
OG0000125	0	8	8
OG0000126	5	2	7
OG0000127	2	5	7
OG0000128	2	5	7
OG0000129	1	6	7
OG0000130	1	6	7
OG0000131	1	6	7
OG0000132	7	0	7
OG0000133	1	6	7
OG0000134	1	6	7
OG0000135	7	0	7
OG0000136	7	0	7
OG0000137	7	0	7
OG0000138	5	2	7
OG0000139	7	0	7
OG0000140	7	0	7
OG0000141	6	1	7
OG0000142	2	5	7
OG0000143	7	0	7
OG0000144	7	0	7
OG0000145	7	0	7
OG0000146	5	2	7
OG0000147	1	6	7
OG0000148	3	4	7
OG0000149	7	0	7
OG0000150	7	0	7
OG0000151	7	0	7
OG0000152	0	7	7
OG0000153	0	7	7
OG0000154	0	7	7
OG0000155	0	7	7
OG0000156	0	7	7
OG0000157	0	7	7
OG0000158	0	7	7
OG0000159	0	7	7
OG0000160	0	7	7
OG0000161	5	1	6
OG0000162	1	5	6
OG0000163	1	5	6
OG0000164	5	1	6
OG0000165	5	1	6
OG0000166	6	0	6
OG0000167	6	0	6
OG0000168	1	5	6
OG0000169	5	1	6
OG0000170	4	2	6
OG0000171	5	1	6
OG0000172	1	5	6
OG0000173	6	0	6
OG0000174	3	3	6
OG0000175	6	0	6
OG0000176	2	4	6
OG0000177	6	0	6
OG0000178	5	1	6
OG0000179	6	0	6
OG0000180	6	0	6
OG0000181	6	0	6
OG0000182	6	0	6
OG0000183	4	2	6
OG0000184	5	1	6
OG0000185	6	0	6
OG0000186	5	1	6
OG0000187	1	5	6
OG0000188	6	0	6
OG0000189	3	3	6
OG0000190	1	5	6
OG0000191	1	5	6
OG0000192	5	1	6
OG0000193	6	0	6
OG0000194	5	1	6
OG0000195	1	5	6
OG0000196	1	5	6
OG0000197	5	1	6
OG0000198	2	4	6
OG0000199	4	2	6
OG0000200	5	1	6
OG0000201	6	0	6
OG0000202	0	6	6
OG0000203	0	6	6
OG0000204	0	6	6
OG0000205	0	6	6
OG0000206	0	6	6
OG0000207	0	6	6
OG0000208	0	6	6
OG0000209	0	6	6
OG0000210	0	6	6
OG0000211	0	6	6
OG0000212	0	6	6
OG0000213	0	6	6
OG0000214	0	6	6
OG0000215	1	4	5
OG0000216	1	4	5
OG0000217	5	0	5
OG0000218	5	0	5
OG0000219	1	4	5
OG0000220	5	0	5
OG0000221	4	1	5
OG0000222	1	4	5
OG0000223	3	2	5
OG0000224	3	2	5
OG0000225	5	0	5
OG0000226	5	0	5
OG0000227	5	0	5
OG0000228	5	0	5
OG0000229	3	2	5
OG0000230	5	0	5
OG0000231	4	1	5
OG0000232	5	0	5
OG0000233	5	0	5
OG0000234	5	0	5
OG0000235	2	3	5
OG0000236	4	1	5
OG0000237	1	4	5
OG0000238	4	1	5
OG0000239	2	3	5
OG0000240	4	1	5
OG0000241	5	0	5
OG0000242	3	2	5
OG0000243	4	1	5
OG0000244	4	1	5
OG0000245	3	2	5
OG0000246	1	4	5
OG0000247	4	1	5
OG0000248	5	0	5
OG0000249	2	3	5
OG0000250	3	2	5
OG0000251	3	2	5
OG0000252	4	1	5
OG0000253	1	4	5
OG0000254	4	1	5
OG0000255	3	2	5
OG0000256	3	2	5
OG0000257	1	4	5
OG0000258	5	0	5
OG0000259	2	3	5
OG0000260	3	2	5
OG0000261	3	2	5
OG0000262	1	4	5
OG0000263	2	3	5
OG0000264	2	3	5
OG0000265	2	3	5
OG0000266	5	0	5
OG0000267	5	0	5
OG0000268	4	1	5
OG0000269	5	0	5
OG0000270	5	0	5
OG0000271	5	0	5
OG0000272	5	0	5
OG0000273	5	0	5
OG0000274	4	1	5
OG0000275	4	1	5
OG0000276	1	4	5
OG0000277	1	4	5
OG0000278	2	3	5
OG0000279	1	4	5
OG0000280	4	1	5
OG0000281	4	1	5
OG0000282	4	1	5
OG0000283	1	4	5
OG0000284	4	1	5
OG0000285	5	0	5
OG0000286	1	4	5
OG0000287	5	0	5
OG0000288	0	5	5
OG0000289	0	5	5
OG0000290	0	5	5
OG0000291	0	5	5
OG0000292	0	5	5
OG0000293	0	5	5
OG0000294	0	5	5
OG0000295	0	5	5
OG0000296	0	5	5
OG0000297	0	5	5
OG0000298	0	5	5
OG0000299	0	5	5
OG0000300	0	5	5
OG0000301	0	5	5
OG0000302	0	5	5
OG0000303	0	5	5
OG0000304	0	5	5
OG0000305	0	5	5
OG0000306	0	5	5
OG0000307	0	5	5
OG0000308	0	5	5
OG0000309	0	5	5
OG0000310	0	5	5
OG0000311	0	5	5
OG0000312	0	5	5
OG0000313	0	5	5
OG0000314	0	5	5
OG0000315	0	5	5
OG0000316	0	5	5
OG0000317	0	5	5
OG0000318	0	5	5
OG0000319	1	3	4
OG0000320	3	1	4
OG0000321	3	1	4
OG0000322	1	3	4
OG0000323	1	3	4
OG0000324	1	3	4
OG0000325	3	1	4
OG0000326	1	3	4
OG0000327	4	0	4
OG0000328	4	0	4
OG0000329	1	3	4
OG0000330	2	2	4
OG0000331	2	2	4
OG0000332	1	3	4
OG0000333	2	2	4
OG0000334	3	1	4
OG0000335	2	2	4
OG0000336	2	2	4
OG0000337	3	1	4
OG0000338	2	2	4
OG0000339	4	0	4
OG0000340	4	0	4
OG0000341	1	3	4
OG0000342	4	0	4
OG0000343	3	1	4
OG0000344	3	1	4
OG0000345	3	1	4
OG0000346	1	3	4
OG0000347	2	2	4
OG0000348	3	1	4
OG0000349	3	1	4
OG0000350	2	2	4
OG0000351	3	1	4
OG0000352	4	0	4
OG0000353	4	0	4
OG0000354	2	2	4
OG0000355	1	3	4
OG0000356	4	0	4
OG0000357	1	3	4
OG0000358	4	0	4
OG0000359	2	2	4
OG0000360	4	0	4
OG0000361	4	0	4
OG0000362	4	0	4
OG0000363	3	1	4
OG0000364	4	0	4
OG0000365	1	3	4
OG0000366	2	2	4
OG0000367	1	3	4
OG0000368	3	1	4
OG0000369	3	1	4
OG0000370	1	3	4
OG0000371	3	1	4
OG0000372	2	2	4
OG0000373	1	3	4
OG0000374	4	0	4
OG0000375	3	1	4
OG0000376	4	0	4
OG0000377	2	2	4
OG0000378	1	3	4
OG0000379	4	0	4
OG0000380	3	1	4
OG0000381	2	2	4
OG0000382	3	1	4
OG0000383	4	0	4
OG0000384	3	1	4
OG0000385	1	3	4
OG0000386	2	2	4
OG0000387	1	3	4
OG0000388	1	3	4
OG0000389	1	3	4
OG0000390	2	2	4
OG0000391	2	2	4
OG0000392	1	3	4
OG0000393	1	3	4
OG0000394	1	3	4
OG0000395	2	2	4
OG0000396	1	3	4
OG0000397	1	3	4
OG0000398	1	3	4
OG0000399	2	2	4
OG0000400	4	0	4
OG0000401	1	3	4
OG0000402	3	1	4
OG0000403	3	1	4
OG0000404	1	3	4
OG0000405	2	2	4
OG0000406	2	2	4
OG0000407	2	2	4
OG0000408	4	0	4
OG0000409	4	0	4
OG0000410	1	3	4
OG0000411	2	2	4
OG0000412	3	1	4
OG0000413	3	1	4
OG0000414	1	3	4
OG0000415	3	1	4
OG0000416	1	3	4
OG0000417	3	1	4
OG0000418	4	0	4
OG0000419	4	0	4
OG0000420	2	2	4
OG0000421	2	2	4
OG0000422	3	1	4
OG0000423	4	0	4
OG0000424	3	1	4
OG0000425	1	3	4
OG0000426	4	0	4
OG0000427	2	2	4
OG0000428	1	3	4
OG0000429	3	1	4
OG0000430	4	0	4
OG0000431	4	0	4
OG0000432	4	0	4
OG0000433	2	2	4
OG0000434	4	0	4
OG0000435	4	0	4
OG0000436	4	0	4
OG0000437	4	0	4
OG0000438	1	3	4
OG0000439	4	0	4
OG0000440	3	1	4
OG0000441	1	3	4
OG0000442	3	1	4
OG0000443	4	0	4
OG0000444	3	1	4
OG0000445	2	2	4
OG0000446	1	3	4
OG0000447	3	1	4
OG0000448	4	0	4
OG0000449	2	2	4
OG0000450	1	3	4
OG0000451	3	1	4
OG0000452	4	0	4
OG0000453	4	0	4
OG0000454	4	0	4
OG0000455	1	3	4
OG0000456	3	1	4
OG0000457	1	3	4
OG0000458	0	4	4
OG0000459	0	4	4
OG0000460	0	4	4
OG0000461	0	4	4
OG0000462	0	4	4
OG0000463	0	4	4
OG0000464	0	4	4
OG0000465	0	4	4
OG0000466	0	4	4
OG0000467	0	4	4
OG0000468	0	4	4
OG0000469	0	4	4
OG0000470	0	4	4
OG0000471	0	4	4
OG0000472	0	4	4
OG0000473	0	4	4
OG0000474	0	4	4
OG0000475	0	4	4
OG0000476	0	4	4
OG0000477	0	4	4
OG0000478	0	4	4
OG0000479	0	4	4
OG0000480	0	4	4
OG0000481	0	4	4
OG0000482	0	4	4
OG0000483	0	4	4
OG0000484	0	4	4
OG0000485	0	4	4
OG0000486	0	4	4
OG0000487	0	4	4
OG0000488	0	4	4
OG0000489	0	4	4
OG0000490	0	4	4
OG0000491	0	4	4
OG0000492	0	4	4
OG0000493	0	4	4
OG0000494	0	4	4
OG0000495	0	4	4
OG0000496	0	4	4
OG0000497	0	4	4
OG0000498	0	4	4
OG0000499	0	4	4
OG0000500	0	4	4
OG0000501	0	4	4
OG0000502	0	4	4
OG0000503	0	4	4
OG0000504	0	4	4
OG0000505	0	4	4
OG0000506	0	4	4
OG0000507	0	4	4
OG0000508	0	4	4
OG0000509	0	4	4
OG0000510	0	4	4
OG0000511	0	4	4
OG0000512	0	4	4
OG0000513	0	4	4
OG0000514	0	4	4
OG0000515	0	4	4
OG0000516	0	4	4
OG0000517	0	4	4
OG0000518	0	4	4
OG0000519	0	4	4
OG0000520	0	4	4
OG0000521	0	4	4
OG0000522	0	4	4
OG0000523	1	2	3
OG0000524	2	1	3
OG0000525	2	1	3
OG0000526	2	1	3
OG0000527	2	1	3
OG0000528	1	2	3
OG0000529	2	1	3
OG0000530	3	0	3
OG0000531	3	0	3
OG0000532	2	1	3
OG0000533	3	0	3
OG0000534	2	1	3
OG0000535	2	1	3
OG0000536	1	2	3
OG0000537	1	2	3
OG0000538	1	2	3
OG0000539	2	1	3
OG0000540	2	1	3
OG0000541	1	2	3
OG0000542	2	1	3
OG0000543	3	0	3
OG0000544	2	1	3
OG0000545	3	0	3
OG0000546	3	0	3
OG0000547	1	2	3
OG0000548	1	2	3
OG0000549	2	1	3
OG0000550	1	2	3
OG0000551	3	0	3
OG0000552	1	2	3
OG0000553	3	0	3
OG0000554	1	2	3
OG0000555	1	2	3
OG0000556	2	1	3
OG0000557	1	2	3
OG0000558	1	2	3
OG0000559	1	2	3
OG0000560	1	2	3
OG0000561	2	1	3
OG0000562	2	1	3
OG0000563	1	2	3
OG0000564	2	1	3
OG0000565	1	2	3
OG0000566	3	0	3
OG0000567	3	0	3
OG0000568	1	2	3
OG0000569	2	1	3
OG0000570	1	2	3
OG0000571	1	2	3
OG0000572	2	1	3
OG0000573	1	2	3
OG0000574	1	2	3
OG0000575	2	1	3
OG0000576	2	1	3
OG0000577	3	0	3
OG0000578	3	0	3
OG0000579	1	2	3
OG0000580	2	1	3
OG0000581	1	2	3
OG0000582	2	1	3
OG0000583	1	2	3
OG0000584	2	1	3
OG0000585	2	1	3
OG0000586	2	1	3
OG0000587	3	0	3
OG0000588	2	1	3
OG0000589	2	1	3
OG0000590	2	1	3
OG0000591	1	2	3
OG0000592	3	0	3
OG0000593	1	2	3
OG0000594	1	2	3
OG0000595	2	1	3
OG0000596	1	2	3
OG0000597	2	1	3
OG0000598	3	0	3
OG0000599	2	1	3
OG0000600	2	1	3
OG0000601	3	0	3
OG0000602	1	2	3
OG0000603	2	1	3
OG0000604	2	1	3
OG0000605	1	2	3
OG0000606	2	1	3
OG0000607	3	0	3
OG0000608	1	2	3
OG0000609	2	1	3
OG0000610	3	0	3
OG0000611	1	2	3
OG0000612	1	2	3
OG0000613	1	2	3
OG0000614	1	2	3
OG0000615	1	2	3
OG0000616	3	0	3
OG0000617	2	1	3
OG0000618	1	2	3
OG0000619	1	2	3
OG0000620	2	1	3
OG0000621	3	0	3
OG0000622	1	2	3
OG0000623	2	1	3
OG0000624	1	2	3
OG0000625	2	1	3
OG0000626	1	2	3
OG0000627	2	1	3
OG0000628	1	2	3
OG0000629	2	1	3
OG0000630	1	2	3
OG0000631	3	0	3
OG0000632	1	2	3
OG0000633	1	2	3
OG0000634	2	1	3
OG0000635	1	2	3
OG0000636	3	0	3
OG0000637	1	2	3
OG0000638	1	2	3
OG0000639	1	2	3
OG0000640	3	0	3
OG0000641	2	1	3
OG0000642	1	2	3
OG0000643	2	1	3
OG0000644	2	1	3
OG0000645	2	1	3
OG0000646	2	1	3
OG0000647	2	1	3
OG0000648	1	2	3
OG0000649	2	1	3
OG0000650	1	2	3
OG0000651	1	2	3
OG0000652	1	2	3
OG0000653	3	0	3
OG0000654	3	0	3
OG0000655	1	2	3
OG0000656	2	1	3
OG0000657	2	1	3
OG0000658	3	0	3
OG0000659	2	1	3
OG0000660	3	0	3
OG0000661	3	0	3
OG0000662	2	1	3
OG0000663	3	0	3
OG0000664	3	0	3
OG0000665	3	0	3
OG0000666	3	0	3
OG0000667	1	2	3
OG0000668	3	0	3
OG0000669	1	2	3
OG0000670	1	2	3
OG0000671	2	1	3
OG0000672	2	1	3
OG0000673	1	2	3
OG0000674	3	0	3
OG0000675	1	2	3
OG0000676	2	1	3
OG0000677	2	1	3
OG0000678	3	0	3
OG0000679	2	1	3
OG0000680	2	1	3
OG0000681	1	2	3
OG0000682	1	2	3
OG0000683	2	1	3
OG0000684	3	0	3
OG0000685	2	1	3
OG0000686	2	1	3
OG0000687	1	2	3
OG0000688	3	0	3
OG0000689	3	0	3
OG0000690	2	1	3
OG0000691	3	0	3
OG0000692	1	2	3
OG0000693	3	0	3
OG0000694	2	1	3
OG0000695	2	1	3
OG0000696	3	0	3
OG0000697	2	1	3
OG0000698	2	1	3
OG0000699	2	1	3
OG0000700	1	2	3
OG0000701	2	1	3
OG0000702	3	0	3
OG0000703	1	2	3
OG0000704	3	0	3
OG0000705	3	0	3
OG0000706	2	1	3
OG0000707	2	1	3
OG0000708	2	1	3
OG0000709	2	1	3
OG0000710	2	1	3
OG0000711	2	1	3
OG0000712	2	1	3
OG0000713	3	0	3
OG0000714	2	1	3
OG0000715	2	1	3
OG0000716	1	2	3
OG0000717	2	1	3
OG0000718	2	1	3
OG0000719	2	1	3
OG0000720	1	2	3
OG0000721	1	2	3
OG0000722	1	2	3
OG0000723	2	1	3
OG0000724	1	2	3
OG0000725	2	1	3
OG0000726	2	1	3
OG0000727	1	2	3
OG0000728	3	0	3
OG0000729	1	2	3
OG0000730	1	2	3
OG0000731	1	2	3
OG0000732	2	1	3
OG0000733	2	1	3
OG0000734	2	1	3
OG0000735	1	2	3
OG0000736	1	2	3
OG0000737	1	2	3
OG0000738	2	1	3
OG0000739	2	1	3
OG0000740	2	1	3
OG0000741	1	2	3
OG0000742	1	2	3
OG0000743	2	1	3
OG0000744	1	2	3
OG0000745	2	1	3
OG0000746	2	1	3
OG0000747	2	1	3
OG0000748	1	2	3
OG0000749	2	1	3
OG0000750	3	0	3
OG0000751	1	2	3
OG0000752	2	1	3
OG0000753	2	1	3
OG0000754	3	0	3
OG0000755	1	2	3
OG0000756	1	2	3
OG0000757	3	0	3
OG0000758	2	1	3
OG0000759	1	2	3
OG0000760	1	2	3
OG0000761	2	1	3
OG0000762	1	2	3
OG0000763	3	0	3
OG0000764	2	1	3
OG0000765	1	2	3
OG0000766	2	1	3
OG0000767	2	1	3
OG0000768	1	2	3
OG0000769	2	1	3
OG0000770	2	1	3
OG0000771	1	2	3
OG0000772	2	1	3
OG0000773	2	1	3
OG0000774	3	0	3
OG0000775	2	1	3
OG0000776	2	1	3
OG0000777	2	1	3
OG0000778	2	1	3
OG0000779	2	1	3
OG0000780	2	1	3
OG0000781	3	0	3
OG0000782	1	2	3
OG0000783	1	2	3
OG0000784	1	2	3
OG0000785	1	2	3
OG0000786	3	0	3
OG0000787	3	0	3
OG0000788	1	2	3
OG0000789	1	2	3
OG0000790	1	2	3
OG0000791	2	1	3
OG0000792	1	2	3
OG0000793	2	1	3
OG0000794	1	2	3
OG0000795	1	2	3
OG0000796	1	2	3
OG0000797	1	2	3
OG0000798	2	1	3
OG0000799	1	2	3
OG0000800	2	1	3
OG0000801	1	2	3
OG0000802	2	1	3
OG0000803	2	1	3
OG0000804	2	1	3
OG0000805	1	2	3
OG0000806	2	1	3
OG0000807	1	2	3
OG0000808	1	2	3
OG0000809	2	1	3
OG0000810	1	2	3
OG0000811	1	2	3
OG0000812	2	1	3
OG0000813	2	1	3
OG0000814	2	1	3
OG0000815	2	1	3
OG0000816	1	2	3
OG0000817	1	2	3
OG0000818	2	1	3
OG0000819	1	2	3
OG0000820	1	2	3
OG0000821	1	2	3
OG0000822	2	1	3
OG0000823	2	1	3
OG0000824	2	1	3
OG0000825	1	2	3
OG0000826	2	1	3
OG0000827	1	2	3
OG0000828	2	1	3
OG0000829	1	2	3
OG0000830	1	2	3
OG0000831	1	2	3
OG0000832	2	1	3
OG0000833	2	1	3
OG0000834	2	1	3
OG0000835	3	0	3
OG0000836	1	2	3
OG0000837	2	1	3
OG0000838	1	2	3
OG0000839	1	2	3
OG0000840	1	2	3
OG0000841	2	1	3
OG0000842	1	2	3
OG0000843	1	2	3
OG0000844	3	0	3
OG0000845	3	0	3
OG0000846	1	2	3
OG0000847	3	0	3
OG0000848	1	2	3
OG0000849	2	1	3
OG0000850	3	0	3
OG0000851	3	0	3
OG0000852	1	2	3
OG0000853	1	2	3
OG0000854	1	2	3
OG0000855	2	1	3
OG0000856	2	1	3
OG0000857	1	2	3
OG0000858	3	0	3
OG0000859	1	2	3
OG0000860	3	0	3
OG0000861	2	1	3
OG0000862	2	1	3
OG0000863	2	1	3
OG0000864	2	1	3
OG0000865	2	1	3
OG0000866	3	0	3
OG0000867	1	2	3
OG0000868	2	1	3
OG0000869	1	2	3
OG0000870	2	1	3
OG0000871	2	1	3
OG0000872	2	1	3
OG0000873	2	1	3
OG0000874	2	1	3
OG0000875	3	0	3
OG0000876	2	1	3
OG0000877	2	1	3
OG0000878	1	2	3
OG0000879	3	0	3
OG0000880	2	1	3
OG0000881	1	2	3
OG0000882	3	0	3
OG0000883	3	0	3
OG0000884	1	2	3
OG0000885	2	1	3
OG0000886	1	2	3
OG0000887	1	2	3
OG0000888	3	0	3
OG0000889	2	1	3
OG0000890	3	0	3
OG0000891	1	2	3
OG0000892	3	0	3
OG0000893	3	0	3
OG0000894	3	0	3
OG0000895	3	0	3
OG0000896	2	1	3
OG0000897	1	2	3
OG0000898	2	1	3
OG0000899	2	1	3
OG0000900	1	2	3
OG0000901	2	1	3
OG0000902	1	2	3
OG0000903	1	2	3
OG0000904	1	2	3
OG0000905	1	2	3
OG0000906	3	0	3
OG0000907	1	2	3
OG0000908	2	1	3
OG0000909	0	3	3
OG0000910	0	3	3
OG0000911	0	3	3
OG0000912	0	3	3
OG0000913	0	3	3
OG0000914	0	3	3
OG0000915	0	3	3
OG0000916	0	3	3
OG0000917	0	3	3
OG0000918	0	3	3
OG0000919	0	3	3
OG0000920	0	3	3
OG0000921	0	3	3
OG0000922	0	3	3
OG0000923	0	3	3
OG0000924	0	3	3
OG0000925	0	3	3
OG0000926	0	3	3
OG0000927	0	3	3
OG0000928	0	3	3
OG0000929	0	3	3
OG0000930	0	3	3
OG0000931	0	3	3
OG0000932	0	3	3
OG0000933	0	3	3
OG0000934	0	3	3
OG0000935	0	3	3
OG0000936	0	3	3
OG0000937	0	3	3
OG0000938	0	3	3
OG0000939	0	3	3
OG0000940	0	3	3
OG0000941	0	3	3
OG0000942	0	3	3
OG0000943	0	3	3
OG0000944	0	3	3
OG0000945	0	3	3
OG0000946	0	3	3
OG0000947	0	3	3
OG0000948	0	3	3
OG0000949	0	3	3
OG0000950	0	3	3
OG0000951	0	3	3
OG0000952	0	3	3
OG0000953	0	3	3
OG0000954	0	3	3
OG0000955	0	3	3
OG0000956	0	3	3
OG0000957	0	3	3
OG0000958	0	3	3
OG0000959	0	3	3
OG0000960	0	3	3
OG0000961	0	3	3
OG0000962	0	3	3
OG0000963	0	3	3
OG0000964	0	3	3
OG0000965	0	3	3
OG0000966	0	3	3
OG0000967	0	3	3
OG0000968	0	3	3
OG0000969	0	3	3
OG0000970	0	3	3
OG0000971	0	3	3
OG0000972	0	3	3
OG0000973	0	3	3
OG0000974	0	3	3
OG0000975	0	3	3
OG0000976	0	3	3
OG0000977	0	3	3
OG0000978	0	3	3
OG0000979	0	3	3
OG0000980	0	3	3
OG0000981	0	3	3
OG0000982	0	3	3
OG0000983	0	3	3
OG0000984	0	3	3
OG0000985	0	3	3
OG0000986	0	3	3
OG0000987	0	3	3
OG0000988	0	3	3
OG0000989	0	3	3
OG0000990	0	3	3
OG0000991	0	3	3
OG0000992	0	3	3
OG0000993	0	3	3
OG0000994	0	3	3
OG0000995	0	3	3
OG0000996	0	3	3
OG0000997	0	3	3
OG0000998	0	3	3
OG0000999	0	3	3
OG0001000	0	3	3
OG0001001	0	3	3
OG0001002	0	3	3
OG0001003	0	3	3
OG0001004	0	3	3
OG0001005	0	3	3
OG0001006	0	3	3
OG0001007	0	3	3
OG0001008	0	3	3
OG0001009	0	3	3
OG0001010	0	3	3
OG0001011	0	3	3
OG0001012	0	3	3
OG0001013	0	3	3
OG0001014	0	3	3
OG0001015	0	3	3
OG0001016	0	3	3
OG0001017	0	3	3
OG0001018	0	3	3
OG0001019	0	3	3
OG0001020	0	3	3
OG0001021	0	3	3
OG0001022	0	3	3
OG0001023	0	3	3
OG0001024	0	3	3
OG0001025	0	3	3
OG0001026	0	3	3
OG0001027	0	3	3
OG0001028	0	3	3
OG0001029	0	3	3
OG0001030	0	3	3
OG0001031	1	1	2
OG0001032	2	0	2
OG0001033	2	0	2
OG0001034	1	1	2
OG0001035	1	1	2
OG0001036	1	1	2
OG0001037	1	1	2
OG0001038	1	1	2
OG0001039	1	1	2
OG0001040	2	0	2
OG0001041	1	1	2
OG0001042	2	0	2
OG0001043	1	1	2
OG0001044	2	0	2
OG0001045	2	0	2
OG0001046	2	0	2
OG0001047	1	1	2
OG0001048	2	0	2
OG0001049	1	1	2
OG0001050	1	1	2
OG0001051	2	0	2
OG0001052	1	1	2
OG0001053	1	1	2
OG0001054	1	1	2
OG0001055	1	1	2
OG0001056	1	1	2
OG0001057	2	0	2
OG0001058	2	0	2
OG0001059	2	0	2
OG0001060	1	1	2
OG0001061	1	1	2
OG0001062	1	1	2
OG0001063	1	1	2
OG0001064	1	1	2
OG0001065	1	1	2
OG0001066	1	1	2
OG0001067	1	1	2
OG0001068	1	1	2
OG0001069	1	1	2
OG0001070	1	1	2
OG0001071	1	1	2
OG0001072	1	1	2
OG0001073	1	1	2
OG0001074	1	1	2
OG0001075	1	1	2
OG0001076	1	1	2
OG0001077	1	1	2
OG0001078	1	1	2
OG0001079	1	1	2
OG0001080	1	1	2
OG0001081	1	1	2
OG0001082	1	1	2
OG0001083	1	1	2
OG0001084	2	0	2
